time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.843,0,0,0.504396,5.04396,0.00599846,0.0599846,0,0.00303425,1.77472,0,482.597,0.108792,0.108792,0,0,0,0,0,
25,7.92745e-07,0,463.85,0,0,0.535466,13.076,0.00636826,0.155509,0,0.00351854,3.76766,0,469.267,0.112275,0.112275,0,0,0,0,0,
47.5,1.50622e-06,0,463.862,0,0,0.56878,25.8735,0.00676494,0.30772,0,0.00403968,5.79268,0,452.451,0.11607,0.11607,0,0,0,0,0,
60,1.90259e-06,0,463.868,0,0,0.584691,33.1822,0.00695447,0.394651,0,0.00428952,7.78989,0,444.004,0.118004,0.118004,0,0,0,0,0,
93.75,2.97279e-06,0,463.886,0,0,0.617667,54.0284,0.00734752,0.642629,0,0.00481151,9.83476,0,425.614,0.121738,0.121738,0,0,0,0,0,
144.375,4.5781e-06,0,463.914,0,0,0.655265,87.2012,0.00779614,1.03731,0,0.00541106,11.8029,0,405.033,0.126155,0.126155,0,0,0,0,0,
220.312,6.98606e-06,0,463.957,0,0,0.697439,140.163,0.00830017,1.6676,0,0.00608665,13.7608,0,383.996,0.1312,0.1312,0,0,0,0,0,
334.219,1.0598e-05,0,464.021,0,0,0.743782,224.884,0.00885531,2.67628,0,0.00682937,15.7338,0,364.727,0.13674,0.13674,0,0,0,0,0,
505.078,1.60159e-05,0,464.116,0,0,0.793614,360.481,0.00945431,4.29164,0,0.00762487,17.7853,0,349.253,0.142396,0.142396,0,0,0,0,0,
600,1.90259e-05,0,464.168,0,0,0.817019,438.034,0.00973633,5.21583,0,0.00799714,19.8627,0,343.316,0.144956,0.144956,0,0,0,0,0,
856.289,2.71527e-05,0,464.299,0,0,0.863114,659.24,0.0102942,7.85411,0,0.00872429,22.0693,0,335.906,0.149213,0.149213,0,0,0,0,0,
1240.72,3.93431e-05,0,464.47,0,0,0.912005,1009.85,0.0108891,12.0403,0,0.00948748,24.1727,0,331.952,0.152782,0.152782,0,0,0,0,0,
1800,5.70776e-05,0,464.668,0,0,0.961035,1547.33,0.0114889,18.4657,0,0.0102454,26.2534,0,330.675,0.155313,0.155313,0,0,0,0,0,
2638.92,8.36795e-05,0,464.868,0,0,1.00987,2394.52,0.0120879,28.6065,0,0.0109973,28.3764,0,330.791,0.156879,0.156879,0,0,0,0,0,
3600,0.000114155,0,465.011,0,0,1.04857,3402.29,0.0125626,40.6802,0,0.0115957,30.5562,0,331.196,0.157621,0.157621,0,0,0,0,0,
5041.63,0.000159869,0,465.123,0,0,1.08761,4970.22,0.0130395,59.4782,0,0.0122063,32.8481,0,331.575,0.158063,0.158063,0,0,0,0,0,
7204.06,0.000228439,0,465.2,0,0,1.12687,7407.01,0.0135168,88.7074,0,0.0128295,34.7421,0,331.865,0.15839,0.15839,0,0,0,0,0,
10627.9,0.000337009,0,465.253,0,0,1.16858,11408.1,0.0140218,136.716,0,0.0134988,36.6743,0,332.142,0.158734,0.158734,0,0,0,0,0,
16049,0.000508912,0,465.296,0,0,1.21224,17979.8,0.0145496,215.591,0,0.0142027,38.534,0,332.454,0.159137,0.159137,0,0,0,0,0,
24632.5,0.000781091,0,465.335,0,0,1.25521,28753.8,0.015069,344.935,0,0.0148959,40.3832,0,332.795,0.159575,0.159575,0,0,0,0,0,
38222.9,0.00121204,0,465.369,0,0,1.29262,46321.1,0.0155215,555.878,0,0.0154994,42.2115,0,333.115,0.15998,0.15998,0,0,0,0,0,
43200,0.00136986,0,465.379,0,0,1.30329,52807.6,0.0156505,633.772,0,0.0156715,43.9934,0,333.208,0.160098,0.160098,0,0,0,0,0,
64718.2,0.0020522,0,465.399,0,0,1.32453,81309.1,0.0159075,976.074,0,0.0160139,45.9245,0,333.393,0.16034,0.16034,0,0,0,0,0,
86400,0.00273973,0,465.409,0,0,1.33442,110242,0.0160273,1323.57,0,0.0161731,47.8247,0,333.475,0.160456,0.160456,0,0,0,0,0,
120730,0.00382831,0,465.415,0,0,1.33984,156238,0.0160931,1876.04,0,0.0162602,49.752,0,333.508,0.160527,0.160527,0,0,0,0,0,
175085,0.0055519,0,465.419,0,0,1.34177,229170,0.0161166,2752.06,0,0.0162906,51.6561,0,333.497,0.160563,0.160563,0,0,0,0,0,
261147,0.00828091,0,465.423,0,0,1.34176,344644,0.016117,4139.13,0,0.0162896,53.4767,0,333.451,0.160587,0.160587,0,0,0,0,0,
397412,0.0126019,0,465.429,0,0,1.34081,527350,0.0161061,6333.83,0,0.0162726,55.4849,0,333.37,0.160613,0.160613,0,0,0,0,0,
613165,0.0194433,0,465.437,0,0,1.33912,816269,0.0160866,9804.57,0,0.016243,57.2869,0,333.24,0.160652,0.160652,0,0,0,0,0,
864000,0.0273973,0,465.447,0,0,1.33715,1.15167e+06,0.016064,13834,0,0.0162085,59.0942,0,333.09,0.160697,0.160697,0,0,0,0,0,
1.26115e+06,0.039991,0,465.462,0,0,1.33408,1.68151e+06,0.0160287,20199.9,0,0.0161547,60.93,0,332.855,0.160768,0.160768,0,0,0,0,0,
1.88998e+06,0.059931,0,465.485,0,0,1.32932,2.51743e+06,0.0159739,30244.7,0,0.0160712,62.7418,0,332.49,0.160877,0.160877,0,0,0,0,0,
2.592e+06,0.0821918,0,465.511,0,0,1.32412,3.44698e+06,0.0159139,41416.5,0,0.0159802,64.5211,0,332.09,0.160996,0.160996,0,0,0,0,0,
3.70353e+06,0.117438,0,465.549,0,0,1.31618,4.90996e+06,0.0158223,59003.4,0,0.0158412,66.3625,0,331.478,0.161178,0.161178,0,0,0,0,0,
5.46344e+06,0.173245,0,465.605,0,0,1.30426,7.20535e+06,0.0156846,86606.9,0,0.0156328,68.2087,0,330.556,0.161451,0.161451,0,0,0,0,0,
7.776e+06,0.246575,0,465.674,0,0,1.28961,1.01876e+07,0.015515,122486,0,0.0153769,70.0076,0,329.42,0.161785,0.161785,0,0,0,0,0,
1.14375e+07,0.362682,0,465.77,0,0,1.26856,1.48325e+07,0.015271,178402,0,0.0150102,72.394,0,327.795,0.162265,0.162265,0,0,0,0,0,
1.5552e+07,0.493151,0,465.865,0,0,1.24717,1.9964e+07,0.0150225,240211,0,0.0146381,74.76,0,326.156,0.162751,0.162751,0,0,0,0,0,
2.17237e+07,0.688853,0,465.987,0,0,1.21918,2.74883e+07,0.0146966,330913,0,0.014152,77.1923,0,324.059,0.163387,0.163387,0,0,0,0,0,
3.09812e+07,0.982407,0,466.138,0,0,1.18397,3.8449e+07,0.0142858,463164,0,0.0135418,79.6123,0,321.535,0.164185,0.164185,0,0,0,0,0,
3.1104e+07,0.986301,0,466.14,0,0,1.18351,3.85943e+07,0.0142804,464918,0,0.0135338,81.4066,0,321.502,0.164196,0.164196,0,0,0,0,0,
4.1104e+07,1.3034,0,466.277,0,0,1.15137,5.0108e+07,0.0139044,603962,0,0.0129773,83.8684,0,319.321,0.164924,0.164924,0,0,0,0,0,
5.1104e+07,1.6205,0,466.396,0,0,1.12367,6.13447e+07,0.01358,739762,0,0.0124981,86.1933,0,317.55,0.165553,0.165553,0,0,0,0,0,
