time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.843,0,0,0.497708,4.97708,0.00591893,0.0591893,0,0.00292449,1.64039,0,482.659,0.10933,0.10933,0,0,0,0,0,
25,7.92745e-07,0,463.85,0,0,0.532368,12.9626,0.00633141,0.15416,0,0.00346768,3.45566,0,469.394,0.112724,0.112724,0,0,0,0,0,
47.5,1.50622e-06,0,463.862,0,0,0.568981,25.7647,0.00676733,0.306425,0,0.00404296,5.2972,0,452.639,0.11644,0.11644,0,0,0,0,0,
60,1.90259e-06,0,463.868,0,0,0.586294,33.0934,0.00697352,0.393594,0,0.00431581,7.12084,0,444.217,0.118341,0.118341,0,0,0,0,0,
93.75,2.97279e-06,0,463.886,0,0,0.621364,54.0644,0.00739151,0.643058,0,0.00487219,8.98149,0,425.86,0.122015,0.122015,0,0,0,0,0,
144.375,4.5781e-06,0,463.914,0,0,0.66018,87.486,0.00785463,1.0407,0,0.00549174,10.8702,0,405.29,0.126374,0.126374,0,0,0,0,0,
220.312,6.98606e-06,0,463.957,0,0,0.702223,140.811,0.00835713,1.67532,0,0.00616515,12.7627,0,384.238,0.131368,0.131368,0,0,0,0,0,
334.219,1.0598e-05,0,464.022,0,0,0.746731,225.868,0.00889047,2.688,0,0.0068777,14.7095,0,364.932,0.136867,0.136867,0,0,0,0,0,
505.078,1.60159e-05,0,464.117,0,0,0.792912,361.345,0.00944597,4.30193,0,0.00761325,16.6689,0,349.411,0.142495,0.142495,0,0,0,0,0,
600,1.90259e-05,0,464.168,0,0,0.814225,438.633,0.00970306,5.22296,0,0.00795124,18.6809,0,343.452,0.145044,0.145044,0,0,0,0,0,
856.289,2.71527e-05,0,464.297,0,0,0.855194,657.809,0.0101996,7.83701,0,0.00859465,20.7091,0,336.004,0.149283,0.149283,0,0,0,0,0,
1240.72,3.93431e-05,0,464.464,0,0,0.89783,1002.97,0.0107194,11.9579,0,0.00925628,22.7531,0,332.012,0.152822,0.152822,0,0,0,0,0,
1800,5.70776e-05,0,464.651,0,0,0.940091,1528.74,0.0112373,18.2427,0,0.00990546,24.9305,0,330.696,0.155306,0.155306,0,0,0,0,0,
2638.92,8.36795e-05,0,464.836,0,0,0.982165,2352.69,0.011754,28.1033,0,0.0105502,27.0519,0,330.771,0.156821,0.156821,0,0,0,0,0,
3600,0.000114155,0,464.963,0,0,1.01596,3329.11,0.0121681,39.7979,0,0.0110717,29.1564,0,331.147,0.157535,0.157535,0,0,0,0,0,
5041.63,0.000159869,0,465.06,0,0,1.05115,4844.48,0.0125974,57.9586,0,0.0116233,30.8966,0,331.515,0.157976,0.157976,0,0,0,0,0,
7324.2,0.000232249,0,465.128,0,0,1.08994,7332.35,0.0130679,87.787,0,0.0122411,32.6263,0,331.835,0.158353,0.158353,0,0,0,0,0,
10938.3,0.00034685,0,465.178,0,0,1.13312,11427.5,0.0135898,136.902,0,0.0129356,34.3416,0,332.169,0.158778,0.158778,0,0,0,0,0,
16660.6,0.000528303,0,465.222,0,0,1.18011,18180.5,0.0141573,217.914,0,0.0136942,36.092,0,332.559,0.159279,0.159279,0,0,0,0,0,
25720.9,0.000815603,0,465.263,0,0,1.22748,29301.8,0.0147293,351.366,0,0.0144592,37.8935,0,332.983,0.159816,0.159816,0,0,0,0,0,
40066.3,0.00127049,0,465.299,0,0,1.26911,47507.8,0.0152324,569.882,0,0.0151316,39.6487,0,333.376,0.160305,0.160305,0,0,0,0,0,
43200,0.00136986,0,465.305,0,0,1.27689,51509.2,0.0153263,617.91,0,0.0152571,41.3546,0,333.451,0.160398,0.160398,0,0,0,0,0,
65913.6,0.00209011,0,465.328,0,0,1.30263,81096.5,0.0156375,973.094,0,0.0156726,43.1309,0,333.696,0.160708,0.160708,0,0,0,0,0,
86400,0.00273973,0,465.338,0,0,1.31388,108013,0.0157737,1296.24,0,0.0158541,44.8895,0,333.8,0.160847,0.160847,0,0,0,0,0,
122363,0.00388011,0,465.345,0,0,1.3207,155510,0.0158562,1866.48,0,0.0159639,46.6628,0,333.85,0.160937,0.160937,0,0,0,0,0,
179305,0.00568573,0,465.35,0,0,1.32318,230854,0.0158864,2771.08,0,0.0160032,48.4056,0,333.844,0.160981,0.160981,0,0,0,0,0,
269463,0.00854462,0,465.354,0,0,1.32335,350164,0.0158888,4203.59,0,0.016005,50.1529,0,333.796,0.161006,0.161006,0,0,0,0,0,
412213,0.0130712,0,465.359,0,0,1.32248,538948,0.0158789,6470.3,0,0.0159895,51.9128,0,333.708,0.161031,0.161031,0,0,0,0,0,
638234,0.0202383,0,465.367,0,0,1.32088,837494,0.0158606,10055.1,0,0.0159614,53.6473,0,333.568,0.161068,0.161068,0,0,0,0,0,
864000,0.0273973,0,465.375,0,0,1.31928,1.13534e+06,0.0158422,13631.8,0,0.0159333,55.411,0,333.429,0.161105,0.161105,0,0,0,0,0,
1.22187e+06,0.0387451,0,465.388,0,0,1.31677,1.60657e+06,0.0158133,19290.8,0,0.0158893,57.214,0,333.211,0.161163,0.161163,0,0,0,0,0,
1.78849e+06,0.0567126,0,465.407,0,0,1.31287,2.35047e+06,0.0157684,28225.5,0,0.0158207,58.9558,0,332.871,0.161252,0.161252,0,0,0,0,0,
2.592e+06,0.0821918,0,465.434,0,0,1.30746,3.40103e+06,0.0157061,40845.5,0,0.0157258,60.7701,0,332.401,0.161376,0.161376,0,0,0,0,0,
3.86423e+06,0.122534,0,465.475,0,0,1.29921,5.05392e+06,0.0156109,60706.1,0,0.0155812,62.6216,0,331.684,0.161565,0.161565,0,0,0,0,0,
5.87859e+06,0.186409,0,465.534,0,0,1.28686,7.64612e+06,0.0154683,91864.9,0,0.0153651,64.4337,0,330.615,0.161848,0.161848,0,0,0,0,0,
7.776e+06,0.246575,0,465.586,0,0,1.27579,1.00668e+07,0.0153402,120972,0,0.0151716,66.2725,0,329.66,0.162101,0.162101,0,0,0,0,0,
1.09654e+07,0.347711,0,465.665,0,0,1.25862,1.40811e+07,0.0151414,169264,0,0.0148722,68.4888,0,328.195,0.162492,0.162492,0,0,0,0,0,
1.5552e+07,0.493151,0,465.765,0,0,1.23642,1.9752e+07,0.0148836,237529,0,0.0144856,70.7671,0,326.335,0.162996,0.162996,0,0,0,0,0,
2.24319e+07,0.711311,0,465.893,0,0,1.20751,2.80596e+07,0.0145473,337613,0,0.0139832,73.071,0,323.998,0.163652,0.163652,0,0,0,0,0,
3.1104e+07,0.986301,0,466.028,0,0,1.17633,3.82608e+07,0.0141837,460615,0,0.0134423,75.3543,0,321.605,0.164359,0.164359,0,0,0,0,0,
4.1104e+07,1.3034,0,466.16,0,0,1.14565,4.97173e+07,0.0138252,598867,0,0.0129104,77.6028,0,319.398,0.165054,0.165054,0,0,0,0,0,
5.1104e+07,1.6205,0,466.275,0,0,1.11902,6.09075e+07,0.0135136,734003,0,0.0124492,79.8293,0,317.61,0.165659,0.165659,0,0,0,0,0,
6.1104e+07,1.9376,0,466.378,0,0,1.09561,7.18635e+07,0.0132394,866397,0,0.0120437,82.0695,0,316.145,0.16619,0.16619,0,0,0,0,0,
6.2208e+07,1.9726,0,466.389,0,0,1.09305,7.30703e+07,0.0132094,880980,0,0.0119994,83.8293,0,315.985,0.166249,0.166249,0,0,0,0,0,
7.2208e+07,2.2897,0,466.48,0,0,1.07251,8.37953e+07,0.0129686,1.01067e+06,0,0.0116436,86.156,0,314.798,0.166716,0.166716,0,0,0,0,0,
8.2208e+07,2.6068,0,466.564,0,0,1.05405,9.43359e+07,0.0127521,1.13819e+06,0,0.0113238,88.4804,0,313.803,0.167136,0.167136,0,0,0,0,0,
9.2208e+07,2.9239,0,466.641,0,0,1.03733,1.04709e+08,0.0125558,1.26375e+06,0,0.0110337,90.7922,0,312.961,0.167517,0.167517,0,0,0,0,0,
9.3312e+07,2.9589,0,466.65,0,0,1.0355,1.05852e+08,0.0125344,1.27758e+06,0,0.0110021,92.6108,0,312.869,0.167559,0.167559,0,0,0,0,0,
1.03312e+08,3.276,0,466.721,0,0,1.0204,1.16056e+08,0.0123571,1.40115e+06,0,0.0107401,94.9733,0,312.162,0.167904,0.167904,0,0,0,0,0,
1.13312e+08,3.5931,0,466.788,0,0,1.00654,1.26122e+08,0.0121943,1.5231e+06,0,0.0104994,97.2592,0,311.551,0.16822,0.16822,0,0,0,0,0,
1.23312e+08,3.9102,0,466.851,0,0,0.99374,1.36059e+08,0.012044,1.64354e+06,0,0.0102772,99.6974,0,311.018,0.168512,0.168512,0,0,0,0,0,
1.24e+08,3.93201,0,466.855,0,0,0.992867,1.36742e+08,0.0120337,1.65182e+06,0,0.010262,101.506,0,310.981,0.168533,0.168533,0,0,0,0,0,
1.34e+08,4.24911,0,466.914,0,0,0.981067,1.46553e+08,0.0118951,1.77077e+06,0,0.0100569,103.833,0,310.518,0.168802,0.168802,0,0,0,0,0,
1.44e+08,4.56621,0,466.97,0,0,0.970087,1.56254e+08,0.0117661,1.88843e+06,0,0.00986589,106.165,0,310.108,0.169053,0.169053,0,0,0,0,0,
1.54e+08,4.88331,0,467.023,0,0,0.959831,1.65852e+08,0.0116455,2.00488e+06,0,0.00968738,107.988,0,309.744,0.169287,0.169287,0,0,0,0,0,
1.56e+08,4.94673,0,467.033,0,0,0.957808,1.67768e+08,0.0116217,2.02813e+06,0,0.00965216,109.779,0,309.673,0.169334,0.169334,0,0,0,0,0,
1.66e+08,5.26383,0,467.084,0,0,0.94832,1.77251e+08,0.0115102,2.14323e+06,0,0.0094869,112.149,0,309.354,0.169551,0.169551,0,0,0,0,0,
1.76e+08,5.58092,0,467.132,0,0,0.939405,1.86645e+08,0.0114054,2.25728e+06,0,0.00933148,113.995,0,309.068,0.169754,0.169754,0,0,0,0,0,
1.86e+08,5.89802,0,467.178,0,0,0.930996,1.95955e+08,0.0113066,2.37035e+06,0,0.00918481,115.891,0,308.81,0.169947,0.169947,0,0,0,0,0,
1.96e+08,6.21512,0,467.222,0,0,0.923047,2.05185e+08,0.0112131,2.48248e+06,0,0.00904605,117.804,0,308.575,0.170129,0.170129,0,0,0,0,0,
2.06e+08,6.53222,0,467.265,0,0,0.915514,2.1434e+08,0.0111246,2.59373e+06,0,0.00891448,119.686,0,308.361,0.170301,0.170301,0,0,0,0,0,
2.16e+08,6.84932,0,467.306,0,0,0.908363,2.23424e+08,0.0110405,2.70413e+06,0,0.00878948,121.566,0,308.166,0.170464,0.170464,0,0,0,0,0,
2.26e+08,7.16641,0,467.345,0,0,0.901562,2.3244e+08,0.0109606,2.81374e+06,0,0.00867052,123.429,0,307.987,0.17062,0.17062,0,0,0,0,0,
2.36e+08,7.48351,0,467.384,0,0,0.895077,2.4139e+08,0.0108843,2.92258e+06,0,0.008557,125.248,0,307.822,0.170768,0.170768,0,0,0,0,0,
2.46e+08,7.80061,0,467.421,0,0,0.888881,2.50279e+08,0.0108115,3.0307e+06,0,0.00844849,127.117,0,307.67,0.17091,0.17091,0,0,0,0,0,
2.56e+08,8.11771,0,467.457,0,0,0.882956,2.59109e+08,0.0107418,3.13811e+06,0,0.00834463,128.962,0,307.529,0.171045,0.171045,0,0,0,0,0,
2.66e+08,8.4348,0,467.492,0,0,0.877278,2.67882e+08,0.0106751,3.24486e+06,0,0.00824503,130.835,0,307.399,0.171175,0.171175,0,0,0,0,0,
2.76e+08,8.7519,0,467.526,0,0,0.871827,2.766e+08,0.010611,3.35097e+06,0,0.00814938,132.69,0,307.278,0.1713,0.1713,0,0,0,0,0,
2.86e+08,9.069,0,467.559,0,0,0.866594,2.85266e+08,0.0105495,3.45647e+06,0,0.00805747,134.505,0,307.165,0.17142,0.17142,0,0,0,0,0,
