time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.372,0,0,-0.344522,-3.44522,-0.00444895,-0.0444895,0,0.000572074,1.64321,0,492.517,0.0172591,0.0172591,0,0,0,0,0,
25,7.92745e-07,0,463.372,0,0,-0.29943,-7.93668,-0.00386666,-0.102489,0,0.00095688,3.48517,0,492.517,0.037277,0.037277,0,0,0,0,0,
47.5,1.50622e-06,0,463.372,0,0,-0.250913,-13.5822,-0.00324013,-0.175392,0,0.000941757,5.33906,0,492.517,0.0585102,0.0585102,0,0,0,0,0,
60,1.90259e-06,0,463.372,0,0,-0.228579,-16.4395,-0.00295173,-0.212289,0,0.000811372,7.25785,0,492.517,0.0682183,0.0682183,0,0,0,0,0,
93.75,2.97279e-06,0,463.372,0,0,-0.188166,-22.7901,-0.00242986,-0.294297,0,0.00015736,9.2009,0,492.517,0.0852952,0.0852952,0,0,0,0,0,
144.375,4.5781e-06,0,463.372,0,0,-0.150807,-30.4247,-0.00194743,-0.392885,0,-0.000817998,11.1454,0,492.517,0.100492,0.100492,0,0,0,0,0,
220.312,6.98606e-06,0,463.372,0,0,-0.11891,-39.4544,-0.00153554,-0.50949,0,-0.0018546,13.1206,0,492.516,0.112932,0.112932,0,0,0,0,0,
334.219,1.0598e-05,0,463.372,0,0,-0.0937555,-50.1338,-0.0012107,-0.647397,0,-0.00267329,15.0648,0,492.516,0.122472,0.122472,0,0,0,0,0,
505.078,1.60159e-05,0,463.372,0,0,-0.0759156,-63.1047,-0.000980327,-0.814895,0,-0.00310736,17.0426,0,492.514,0.129501,0.129501,0,0,0,0,0,
600,1.90259e-05,0,463.372,0,0,-0.069625,-69.7136,-0.000899095,-0.900239,0,-0.00320148,18.9461,0,492.514,0.132194,0.132194,0,0,0,0,0,
856.289,2.71527e-05,0,463.372,0,0,-0.063873,-86.0835,-0.000824817,-1.11163,0,-0.00306255,20.9514,0,492.512,0.136221,0.136221,0,0,0,0,0,
1240.72,3.93431e-05,0,463.372,0,0,-0.0651069,-111.113,-0.000840751,-1.43484,0,-0.00260594,22.9474,0,492.509,0.139759,0.139759,0,0,0,0,0,
1800,5.70776e-05,0,463.372,0,0,-0.0730854,-151.988,-0.000943782,-1.96268,0,-0.00187961,24.9881,0,492.505,0.142839,0.142839,0,0,0,0,0,
2638.92,8.36795e-05,0,463.372,0,0,-0.085483,-223.701,-0.00110388,-2.88874,0,-0.000926481,27.0063,0,492.5,0.145375,0.145375,0,0,0,0,0,
3600,0.000114155,0,463.372,0,0,-0.0958497,-315.821,-0.00123775,-4.07832,0,-3.972e-05,29.0607,0,492.493,0.146943,0.146943,0,0,0,0,0,
5041.63,0.000159869,0,463.372,0,0,-0.103415,-464.906,-0.00133544,-6.00352,0,0.000955362,31.1834,0,492.483,0.148099,0.148099,0,0,0,0,0,
7204.06,0.000228439,0,463.372,0,0,-0.104958,-691.872,-0.00135537,-8.93443,0,0.00200409,32.8423,0,492.468,0.148994,0.148994,0,0,0,0,0,
10627.9,0.000337009,0,463.372,0,0,-0.0994674,-1032.43,-0.00128447,-13.3323,0,0.00310014,34.5577,0,492.444,0.149863,0.149863,0,0,0,0,0,
16049,0.000508912,0,463.372,0,0,-0.0897441,-1518.95,-0.0011589,-19.6148,0,0.00418547,36.2704,0,492.407,0.15082,0.15082,0,0,0,0,0,
24632.5,0.000781091,0,463.372,0,0,-0.0810664,-2214.78,-0.00104684,-28.6003,0,0.00519819,38.0396,0,492.347,0.151847,0.151847,0,0,0,0,0,
38222.9,0.00121204,0,463.372,0,0,-0.0768003,-3258.52,-0.00099175,-42.0786,0,0.00605935,39.888,0,492.254,0.152821,0.152821,0,0,0,0,0,
43200,0.00136986,0,463.372,0,0,-0.0760726,-3637.15,-0.000982353,-46.9679,0,0.00630412,41.6586,0,492.22,0.153104,0.153104,0,0,0,0,0,
