time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.372,0,0,-0.344522,-3.44522,-0.00444895,-0.0444895,0,0.000581987,1.77472,0,492.517,0.0172507,0.0172507,0,0,0,0,0,
25,7.92745e-07,0,463.372,0,0,-0.29943,-7.93668,-0.00386666,-0.102489,0,0.000993318,3.76766,0,492.517,0.0372752,0.0372752,0,0,0,0,0,
47.5,1.50622e-06,0,463.372,0,0,-0.250913,-13.5822,-0.00324013,-0.175392,0,0.00102683,5.79268,0,492.517,0.0585344,0.0585344,0,0,0,0,0,
60,1.90259e-06,0,463.372,0,0,-0.228579,-16.4395,-0.00295173,-0.212289,0,0.00092439,7.78989,0,492.517,0.0682589,0.0682589,0,0,0,0,0,
93.75,2.97279e-06,0,463.372,0,0,-0.188166,-22.7901,-0.00242986,-0.294297,0,0.000340811,9.83476,0,492.517,0.0853786,0.0853786,0,0,0,0,0,
144.375,4.5781e-06,0,463.372,0,0,-0.150807,-30.4247,-0.00194743,-0.392885,0,-0.00054583,11.8029,0,492.517,0.100623,0.100623,0,0,0,0,0,
220.312,6.98606e-06,0,463.372,0,0,-0.11891,-39.4544,-0.00153553,-0.50949,0,-0.00147925,13.7608,0,492.516,0.113105,0.113105,0,0,0,0,0,
334.219,1.0598e-05,0,463.372,0,0,-0.0937513,-50.1333,-0.00121065,-0.64739,0,-0.00218346,15.7338,0,492.516,0.12267,0.12267,0,0,0,0,0,
505.078,1.60159e-05,0,463.372,0,0,-0.0758869,-63.0993,-0.000979958,-0.814825,0,-0.00249424,17.7853,0,492.514,0.129709,0.129709,0,0,0,0,0,
600,1.90259e-05,0,463.372,0,0,-0.0695756,-69.7035,-0.000898457,-0.900108,0,-0.00253052,19.8627,0,492.514,0.132404,0.132404,0,0,0,0,0,
856.289,2.71527e-05,0,463.372,0,0,-0.0637175,-86.0336,-0.000822809,-1.11099,0,-0.00227917,22.0693,0,492.512,0.136433,0.136433,0,0,0,0,0,
1240.72,3.93431e-05,0,463.372,0,0,-0.0647414,-110.922,-0.000836032,-1.43238,0,-0.00170821,24.1727,0,492.509,0.13999,0.13999,0,0,0,0,0,
1800,5.70776e-05,0,463.372,0,0,-0.0724509,-151.443,-0.000935587,-1.95564,0,-0.000878099,26.2534,0,492.505,0.143127,0.143127,0,0,0,0,0,
2638.92,8.36795e-05,0,463.372,0,0,-0.0846586,-222.464,-0.00109323,-2.87277,0,0.000156891,28.3764,0,492.5,0.145759,0.145759,0,0,0,0,0,
3600,0.000114155,0,463.372,0,0,-0.0950478,-313.813,-0.00122739,-4.05239,0,0.00108437,30.5562,0,492.493,0.147408,0.147408,0,0,0,0,0,
5041.63,0.000159869,0,463.372,0,0,-0.102925,-462.192,-0.00132911,-5.96848,0,0.0020831,32.8481,0,492.483,0.148603,0.148603,0,0,0,0,0,
7204.06,0.000228439,0,463.372,0,0,-0.105082,-689.425,-0.00135696,-8.90283,0,0.00308745,34.7421,0,492.468,0.149454,0.149454,0,0,0,0,0,
