time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.843,0,0,0.468536,4.68536,0.005572,0.05572,0,0.00244574,1.69678,0,482.21,0.105464,0.105464,0,0,0,0,0,
25,7.92745e-07,0,463.849,0,0,0.494638,12.1049,0.00588266,0.14396,0,0.00284836,3.64404,0,468.325,0.108504,0.108504,0,0,0,0,0,
47.5,1.50622e-06,0,463.86,0,0,0.522325,23.8573,0.00621234,0.283738,0,0.00327705,5.57078,0,450.801,0.111996,0.111996,0,0,0,0,0,
60,1.90259e-06,0,463.866,0,0,0.535503,30.551,0.00636931,0.363354,0,0.00348201,7.471,0,442.008,0.113842,0.113842,0,0,0,0,0,
93.75,2.97279e-06,0,463.882,0,0,0.56285,49.5472,0.00669527,0.589319,0,0.00391164,9.43011,0,422.955,0.117545,0.117545,0,0,0,0,0,
144.375,4.5781e-06,0,463.907,0,0,0.594221,79.6297,0.00706957,0.947216,0,0.00440923,11.4211,0,401.841,0.122156,0.122156,0,0,0,0,0,
220.312,6.98606e-06,0,463.946,0,0,0.62968,127.446,0.00749326,1.51624,0,0.00497518,13.4562,0,380.586,0.127634,0.127634,0,0,0,0,0,
334.219,1.0598e-05,0,464.004,0,0,0.668916,203.64,0.0079631,2.42328,0,0.00560248,15.4644,0,361.509,0.133769,0.133769,0,0,0,0,0,
505.078,1.60159e-05,0,464.089,0,0,0.711391,325.188,0.00847331,3.87103,0,0.00627945,17.5332,0,346.555,0.140025,0.140025,0,0,0,0,0,
600,1.90259e-05,0,464.135,0,0,0.73142,394.615,0.00871445,4.69822,0,0.00659764,19.5631,0,340.903,0.14283,0.14283,0,0,0,0,0,
856.289,2.71527e-05,0,464.252,0,0,0.771279,592.286,0.00919618,7.0551,0,0.00722597,21.6376,0,334.045,0.147398,0.147398,0,0,0,0,0,
1240.72,3.93431e-05,0,464.409,0,0,0.814404,905.37,0.00972002,10.7918,0,0.00789901,23.7309,0,330.513,0.151073,0.151073,0,0,0,0,0,
1800,5.70776e-05,0,464.6,0,0,0.859167,1385.88,0.0102667,16.5337,0,0.00859065,25.8967,0,329.427,0.153526,0.153526,0,0,0,0,0,
2638.92,8.36795e-05,0,464.818,0,0,0.906227,2146.13,0.010844,25.6309,0,0.00931264,28.1266,0,329.527,0.154933,0.154933,0,0,0,0,0,
3600,0.000114155,0,464.999,0,0,0.94591,3055.23,0.0113318,36.5217,0,0.0099211,30.381,0,329.851,0.155576,0.155576,0,0,0,0,0,
5041.63,0.000159869,0,465.168,0,0,0.989102,4481.15,0.0118618,53.622,0,0.0105887,32.5943,0,330.181,0.156023,0.156023,0,0,0,0,0,
7204.06,0.000228439,0,465.304,0,0,1.03618,6721.83,0.0124371,80.5165,0,0.011327,34.4706,0,330.512,0.15648,0.15648,0,0,0,0,0,
10627.9,0.000337009,0,465.41,0,0,1.08999,10453.8,0.0130917,125.341,0,0.0121818,36.3435,0,330.92,0.157063,0.157063,0,0,0,0,0,
16049,0.000508912,0,465.502,0,0,1.1497,16686.4,0.0138169,200.243,0,0.0131365,38.1438,0,331.432,0.157782,0.157782,0,0,0,0,0,
24632.5,0.000781091,0,465.588,0,0,1.21122,27082.9,0.0145641,325.254,0,0.0141217,40.5432,0,332.018,0.158576,0.158576,0,0,0,0,0,
37507.6,0.00118936,0,465.662,0,0,1.26521,43372.6,0.0152203,521.217,0,0.0149862,42.9199,0,332.571,0.159302,0.159302,0,0,0,0,0,
43200,0.00136986,0,465.687,0,0,1.28356,50679.1,0.0154435,609.128,0,0.01528,44.8626,0,332.766,0.159552,0.159552,0,0,0,0,0,
63585.6,0.00201629,0,465.73,0,0,1.31585,77503.6,0.0158363,931.962,0,0.0157967,46.8338,0,333.114,0.16,0.16,0,0,0,0,0,
86400,0.00273973,0,465.754,0,0,1.33271,107909,0.0160416,1297.94,0,0.0160663,48.7088,0,333.293,0.160238,0.160238,0,0,0,0,0,
122523,0.00388517,0,465.769,0,0,1.34216,156391,0.0161569,1881.57,0,0.0162171,50.5668,0,333.382,0.160377,0.160377,0,0,0,0,0,
179717,0.00569879,0,465.777,0,0,1.34582,233365,0.0162018,2808.23,0,0.0162747,52.4484,0,333.392,0.160441,0.160441,0,0,0,0,0,
270275,0.00857035,0,465.785,0,0,1.34641,355292,0.0162096,4276.13,0,0.0162825,54.3067,0,333.348,0.16047,0.16047,0,0,0,0,0,
413658,0.013117,0,465.794,0,0,1.34571,548244,0.0162022,6599.25,0,0.0162689,56.1498,0,333.26,0.160495,0.160495,0,0,0,0,0,
640681,0.0203159,0,465.808,0,0,1.34428,853428,0.0161864,10273.9,0,0.0162423,58.0292,0,333.118,0.160529,0.160529,0,0,0,0,0,
864000,0.0273973,0,465.821,0,0,1.34287,1.15332e+06,0.0161707,13885.2,0,0.0162159,59.8867,0,332.978,0.160561,0.160561,0,0,0,0,0,
1.22345e+06,0.0387954,0,465.843,0,0,1.3406,1.6352e+06,0.0161456,19688.8,0,0.0161738,61.7326,0,332.756,0.160614,0.160614,0,0,0,0,0,
1.79259e+06,0.0568426,0,465.876,0,0,1.33707,2.39617e+06,0.0161064,28855.5,0,0.0161082,63.5951,0,332.411,0.160695,0.160695,0,0,0,0,0,
2.592e+06,0.0821918,0,465.921,0,0,1.33221,3.46116e+06,0.0160525,41688,0,0.0160182,65.4551,0,331.939,0.160806,0.160806,0,0,0,0,0,
3.85774e+06,0.122328,0,465.988,0,0,1.3248,5.13801e+06,0.0159698,61901.6,0,0.0158812,67.3536,0,331.219,0.160976,0.160976,0,0,0,0,0,
5.86182e+06,0.185877,0,466.086,0,0,1.31366,7.7707e+06,0.0158453,93657,0,0.0156762,69.2298,0,330.146,0.16123,0.16123,0,0,0,0,0,
7.776e+06,0.246575,0,466.172,0,0,1.30353,1.02659e+07,0.0157317,123770,0,0.0154903,71.0746,0,329.175,0.161462,0.161462,0,0,0,0,0,
1.09491e+07,0.347195,0,466.3,0,0,1.288,1.43529e+07,0.0155567,173134,0,0.0152067,73.5146,0,327.709,0.161815,0.161815,0,0,0,0,0,
1.5552e+07,0.493151,0,466.461,0,0,1.26771,2.0188e+07,0.0153271,243682,0,0.0148379,75.9371,0,325.837,0.162276,0.162276,0,0,0,0,0,
2.24563e+07,0.712085,0,466.66,0,0,1.24129,2.87583e+07,0.0150264,347429,0,0.0143602,78.3182,0,323.492,0.162875,0.162875,0,0,0,0,0,
3.1104e+07,0.986301,0,466.866,0,0,1.21296,3.92476e+07,0.0147023,474570,0,0.0138505,80.8026,0,321.11,0.163516,0.163516,0,0,0,0,0,
4.1104e+07,1.3034,0,467.063,0,0,1.18502,5.10978e+07,0.0143813,618383,0,0.0133497,83.2124,0,318.913,0.164149,0.164149,0,0,0,0,0,
5.1104e+07,1.6205,0,467.23,0,0,1.16078,6.27056e+07,0.0141017,759400,0,0.0129165,85.6394,0,317.137,0.164698,0.164698,0,0,0,0,0,
6.1104e+07,1.9376,0,467.374,0,0,1.13947,7.41003e+07,0.0138554,897954,0,0.0125366,88.1591,0,315.686,0.165181,0.165181,0,0,0,0,0,
6.2208e+07,1.9726,0,467.39,0,0,1.13715,7.53557e+07,0.0138285,913221,0,0.0124951,90.0019,0,315.528,0.165234,0.165234,0,0,0,0,0,
7.2208e+07,2.2897,0,467.516,0,0,1.11847,8.65404e+07,0.013612,1.04934e+06,0,0.0121625,92.3802,0,314.355,0.165658,0.165658,0,0,0,0,0,
8.2208e+07,2.6068,0,467.629,0,0,1.10168,9.75572e+07,0.0134171,1.18351e+06,0,0.011864,94.7762,0,313.374,0.16604,0.16604,0,0,0,0,0,
9.2208e+07,2.9239,0,467.73,0,0,1.08648,1.08422e+08,0.0132404,1.31592e+06,0,0.0115938,97.0917,0,312.545,0.166386,0.166386,0,0,0,0,0,
9.3312e+07,2.9589,0,467.741,0,0,1.08482,1.0962e+08,0.013221,1.33051e+06,0,0.0115642,98.986,0,312.454,0.166424,0.166424,0,0,0,0,0,
1.03312e+08,3.276,0,467.833,0,0,1.07109,1.20331e+08,0.0130611,1.46112e+06,0,0.0113205,101.379,0,311.759,0.166737,0.166737,0,0,0,0,0,
1.13312e+08,3.5931,0,467.917,0,0,1.05849,1.30916e+08,0.0129142,1.59027e+06,0,0.0110969,103.837,0,311.159,0.167025,0.167025,0,0,0,0,0,
1.23312e+08,3.9102,0,467.994,0,0,1.04686,1.41384e+08,0.0127785,1.71805e+06,0,0.0108906,106.26,0,310.637,0.16729,0.16729,0,0,0,0,0,
1.24e+08,3.93201,0,468,0,0,1.04607,1.42104e+08,0.0127692,1.72684e+06,0,0.0108765,108.11,0,310.601,0.167309,0.167309,0,0,0,0,0,
1.34e+08,4.24911,0,468.071,0,0,1.03534,1.52457e+08,0.0126439,1.85327e+06,0,0.0106863,110.516,0,310.147,0.167553,0.167553,0,0,0,0,0,
1.44e+08,4.56621,0,468.138,0,0,1.02535,1.62711e+08,0.0125271,1.97854e+06,0,0.0105094,112.4,0,309.747,0.167782,0.167782,0,0,0,0,0,
1.54e+08,4.88331,0,468.2,0,0,1.01602,1.72871e+08,0.0124179,2.10272e+06,0,0.0103441,114.282,0,309.391,0.167995,0.167995,0,0,0,0,0,
1.56e+08,4.94673,0,468.212,0,0,1.01418,1.74899e+08,0.0123963,2.12752e+06,0,0.0103115,116.231,0,309.322,0.168037,0.168037,0,0,0,0,0,
1.66e+08,5.26383,0,468.27,0,0,1.00555,1.84955e+08,0.0122952,2.25047e+06,0,0.0101587,118.161,0,309.011,0.168234,0.168234,0,0,0,0,0,
1.76e+08,5.58092,0,468.325,0,0,0.997426,1.94929e+08,0.0122,2.37247e+06,0,0.0100149,120.023,0,308.733,0.16842,0.16842,0,0,0,0,0,
