time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.843,0,0,0.478734,4.78734,0.00569327,0.0569327,0,0.00261309,1.69645,0,481.939,0.103129,0.103129,0,0,0,0,0,
25,7.92745e-07,0,463.849,0,0,0.492212,12.1705,0.0058538,0.14474,0,0.00280856,3.59506,0,467.779,0.106574,0.106574,0,0,0,0,0,
47.5,1.50622e-06,0,463.859,0,0,0.508098,23.6027,0.00604313,0.28071,0,0.00304355,5.49096,0,450.023,0.110484,0.110484,0,0,0,0,0,
60,1.90259e-06,0,463.865,0,0,0.516072,30.0536,0.00613818,0.357437,0,0.00316307,7.36387,0,441.142,0.112531,0.112531,0,0,0,0,0,
93.75,2.97279e-06,0,463.881,0,0,0.534278,48.0855,0.00635534,0.57193,0,0.00344262,9.29742,0,422.014,0.116601,0.116601,0,0,0,0,0,
144.375,4.5781e-06,0,463.904,0,0,0.557407,76.3042,0.00663146,0.907648,0,0.00380498,11.2314,0,400.946,0.121575,0.121575,0,0,0,0,0,
220.312,6.98606e-06,0,463.94,0,0,0.586366,120.831,0.00697756,1.43751,0,0.00426452,13.1479,0,379.852,0.127365,0.127365,0,0,0,0,0,
334.219,1.0598e-05,0,463.994,0,0,0.621626,191.639,0.00739967,2.28038,0,0.00482726,15.1316,0,361.002,0.133727,0.133727,0,0,0,0,0,
505.078,1.60159e-05,0,464.073,0,0,0.66312,304.939,0.00789757,3.62975,0,0.00548938,17.1364,0,346.278,0.140135,0.140135,0,0,0,0,0,
600,1.90259e-05,0,464.116,0,0,0.68345,369.813,0.00814193,4.4026,0,0.00581324,19.0861,0,340.723,0.142993,0.142993,0,0,0,0,0,
856.289,2.71527e-05,0,464.226,0,0,0.726091,555.902,0.00865595,6.62102,0,0.00648909,21.0949,0,334.021,0.14767,0.14767,0,0,0,0,0,
1240.72,3.93431e-05,0,464.372,0,0,0.774203,853.532,0.00923804,10.1724,0,0.00724654,23.1217,0,330.639,0.151509,0.151509,0,0,0,0,0,
1800,5.70776e-05,0,464.543,0,0,0.825748,1315.35,0.00986378,15.689,0,0.00805353,25.1451,0,329.726,0.154202,0.154202,0,0,0,0,0,
2638.92,8.36795e-05,0,464.722,0,0,0.881104,2054.53,0.010537,24.5287,0,0.00891914,27.2173,0,330.047,0.155906,0.155906,0,0,0,0,0,
3600,0.000114155,0,464.856,0,0,0.928036,2946.45,0.0111076,35.204,0,0.00965588,29.3057,0,330.566,0.15678,0.15678,0,0,0,0,0,
5041.63,0.000159869,0,464.97,0,0,0.978238,4356.7,0.0117169,52.0954,0,0.0104502,31.4208,0,331.062,0.157388,0.157388,0,0,0,0,0,
7204.06,0.000228439,0,465.06,0,0,1.0304,6584.87,0.0123487,78.7987,0,0.0112823,33.5478,0,331.478,0.157892,0.157892,0,0,0,0,0,
10447.7,0.000331295,0,465.131,0,0,1.08369,10100,0.0129932,120.944,0,0.0121378,35.2521,0,331.87,0.158393,0.158393,0,0,0,0,0,
15583.5,0.00049415,0,465.191,0,0,1.13943,15951.9,0.0136667,191.133,0,0.0130358,37.001,0,332.308,0.158961,0.158961,0,0,0,0,0,
23715.2,0.000752004,0,465.243,0,0,1.19467,25666.5,0.0143339,307.692,0,0.0139271,38.7864,0,332.794,0.159583,0.159583,0,0,0,0,0,
36590.3,0.00116027,0,465.287,0,0,1.24409,41684.4,0.0149311,499.931,0,0.014725,40.5575,0,333.271,0.160179,0.160179,0,0,0,0,0,
43200,0.00136986,0,465.304,0,0,1.26269,50030.4,0.0151558,600.106,0,0.0150253,42.3598,0,333.459,0.16041,0.16041,0,0,0,0,0,
63585.6,0.00201629,0,465.328,0,0,1.29064,76341,0.0154937,915.955,0,0.0154764,44.2061,0,333.746,0.160767,0.160767,0,0,0,0,0,
86400,0.00273973,0,465.341,0,0,1.3052,106118,0.0156697,1273.45,0,0.0157113,46.0069,0,333.893,0.160959,0.160959,0,0,0,0,0,
122523,0.00388517,0,465.35,0,0,1.31333,153559,0.0157682,1843.04,0,0.0158422,47.7915,0,333.964,0.161073,0.161073,0,0,0,0,0,
179717,0.00569879,0,465.355,0,0,1.31639,228850,0.0158054,2747.02,0,0.015891,49.5575,0,333.969,0.161128,0.161128,0,0,0,0,0,
270275,0.00857035,0,465.359,0,0,1.3167,348087,0.0158095,4178.69,0,0.015895,51.3228,0,333.925,0.161158,0.161158,0,0,0,0,0,
413658,0.013117,0,465.364,0,0,1.31575,536744,0.0157987,6443.96,0,0.0158783,53.1194,0,333.839,0.161187,0.161187,0,0,0,0,0,
640681,0.0203159,0,465.372,0,0,1.31398,835047,0.0157781,10026,0,0.0158473,54.893,0,333.702,0.161229,0.161229,0,0,0,0,0,
