time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.372,0,0,-0.344522,-3.44522,-0.00444895,-0.0444895,0,0.000575679,1.69645,0,492.517,0.0166771,0.0166771,0,0,0,0,0,
25,7.92745e-07,0,463.372,0,0,-0.29943,-7.93668,-0.00386666,-0.102489,0,0.000963231,3.59506,0,492.517,0.0360104,0.0360104,0,0,0,0,0,
47.5,1.50622e-06,0,463.372,0,0,-0.250913,-13.5822,-0.00324013,-0.175392,0,0.000938749,5.49096,0,492.517,0.0565289,0.0565289,0,0,0,0,0,
60,1.90259e-06,0,463.372,0,0,-0.228579,-16.4395,-0.00295173,-0.212289,0,0.000798978,7.36387,0,492.517,0.0659215,0.0659215,0,0,0,0,0,
93.75,2.97279e-06,0,463.372,0,0,-0.188166,-22.7901,-0.00242986,-0.294297,0,0.000100416,9.29742,0,492.517,0.0825134,0.0825134,0,0,0,0,0,
144.375,4.5781e-06,0,463.372,0,0,-0.150807,-30.4247,-0.00194742,-0.392885,0,-0.000956781,11.2314,0,492.517,0.0974194,0.0974194,0,0,0,0,0,
220.312,6.98606e-06,0,463.372,0,0,-0.118905,-39.454,-0.00153547,-0.509485,0,-0.00211119,13.1479,0,492.516,0.109815,0.109815,0,0,0,0,0,
334.219,1.0598e-05,0,463.372,0,0,-0.0937149,-50.1287,-0.00121018,-0.647331,0,-0.0030693,15.1316,0,492.516,0.119516,0.119516,0,0,0,0,0,
505.078,1.60159e-05,0,463.372,0,0,-0.0757064,-63.0639,-0.000977627,-0.814368,0,-0.00364159,17.1364,0,492.514,0.126835,0.126835,0,0,0,0,0,
600,1.90259e-05,0,463.372,0,0,-0.06928,-69.6401,-0.00089464,-0.899289,0,-0.00379475,19.0861,0,492.514,0.129678,0.129678,0,0,0,0,0,
856.289,2.71527e-05,0,463.372,0,0,-0.0628704,-85.7531,-0.00081187,-1.10736,0,-0.00374172,21.0949,0,492.512,0.134028,0.134028,0,0,0,0,0,
1240.72,3.93431e-05,0,463.372,0,0,-0.0627618,-109.881,-0.000810468,-1.41893,0,-0.00333497,23.1217,0,492.509,0.137914,0.137914,0,0,0,0,0,
1800,5.70776e-05,0,463.372,0,0,-0.0687492,-148.331,-0.000887786,-1.91545,0,-0.0026124,25.1451,0,492.505,0.141339,0.141339,0,0,0,0,0,
2638.92,8.36795e-05,0,463.372,0,0,-0.0789158,-214.534,-0.00101907,-2.77037,0,-0.00161321,27.2173,0,492.499,0.144232,0.144232,0,0,0,0,0,
3600,0.000114155,0,463.372,0,0,-0.0877999,-298.917,-0.0011338,-3.86004,0,-0.000656138,29.3057,0,492.493,0.1461,0.1461,0,0,0,0,0,
5041.63,0.000159869,0,463.372,0,0,-0.0947394,-435.496,-0.00122341,-5.62374,0,0.000437245,31.4208,0,492.483,0.147555,0.147555,0,0,0,0,0,
7204.06,0.000228439,0,463.372,0,0,-0.0969251,-645.091,-0.00125163,-8.33032,0,0.00159296,33.5478,0,492.468,0.148697,0.148697,0,0,0,0,0,
10447.7,0.000331295,0,463.372,0,0,-0.0935696,-948.599,-0.0012083,-12.2496,0,0.00274032,35.2521,0,492.445,0.149687,0.149687,0,0,0,0,0,
15583.5,0.00049415,0,463.372,0,0,-0.0864598,-1392.64,-0.00111649,-17.9837,0,0.00386555,37.001,0,492.41,0.15069,0.15069,0,0,0,0,0,
23715.2,0.000752004,0,463.372,0,0,-0.0796794,-2040.57,-0.00102893,-26.3506,0,0.0049022,38.7864,0,492.354,0.151727,0.151727,0,0,0,0,0,
36590.3,0.00116027,0,463.372,0,0,-0.076319,-3023.18,-0.000985532,-39.0395,0,0.00577982,40.5575,0,492.265,0.152712,0.152712,0,0,0,0,0,
43200,0.00136986,0,463.372,0,0,-0.0757506,-3523.87,-0.000978192,-45.505,0,0.00610287,42.3598,0,492.22,0.153088,0.153088,0,0,0,0,0,
63585.6,0.00201629,0,463.372,0,0,-0.0763836,-5081,-0.000986363,-65.6127,0,0.00657989,44.2061,0,492.08,0.153666,0.153666,0,0,0,0,0,
86400,0.00273973,0,463.372,0,0,-0.0772074,-6842.43,-0.000997001,-88.3586,0,0.00682652,46.0069,0,491.924,0.153974,0.153974,0,0,0,0,0,
122523,0.00388517,0,463.372,0,0,-0.0778511,-9654.63,-0.00100531,-124.673,0,0.00696392,47.7915,0,491.677,0.154159,0.154159,0,0,0,0,0,
179717,0.00569879,0,463.372,0,0,-0.0781582,-14124.8,-0.00100928,-182.398,0,0.00701564,49.5575,0,491.287,0.15425,0.15425,0,0,0,0,0,
270275,0.00857035,0,463.372,0,0,-0.0782535,-21211.3,-0.00101051,-273.908,0,0.0070209,51.3228,0,490.673,0.1543,0.1543,0,0,0,0,0,
