time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.372,0,0,-0.344522,-3.44522,-0.00444895,-0.0444895,0,0.000620639,1.7601,0,492.517,0.0182198,0.0182198,0,0,0,0,0,
25,7.92745e-07,0,463.372,0,0,-0.29943,-7.93668,-0.00386666,-0.102489,0,0.00112352,3.71839,0,492.517,0.0395651,0.0395651,0,0,0,0,0,
47.5,1.50622e-06,0,463.372,0,0,-0.250913,-13.5822,-0.00324013,-0.175392,0,0.00129634,5.67214,0,492.517,0.0624635,0.0624635,0,0,0,0,0,
60,1.90259e-06,0,463.372,0,0,-0.228579,-16.4395,-0.00295173,-0.212289,0,0.00126533,7.25656,0,492.517,0.0729899,0.0729899,0,0,0,0,0,
95.625,3.03225e-06,0,463.372,0,0,-0.186621,-23.0878,-0.00240991,-0.298142,0,0.000777524,9.30024,0,492.517,0.0923771,0.0923771,0,0,0,0,0,
149.062,4.72674e-06,0,463.372,0,0,-0.148486,-31.0226,-0.00191746,-0.400606,0,-6.9801e-05,11.331,0,492.517,0.109404,0.109404,0,0,0,0,0,
229.219,7.26848e-06,0,463.372,0,0,-0.116455,-40.3572,-0.00150383,-0.521148,0,-0.00104597,13.3982,0,492.516,0.123064,0.123064,0,0,0,0,0,
349.453,1.10811e-05,0,463.372,0,0,-0.0915653,-51.3665,-0.00118242,-0.663315,0,-0.00189887,15.4749,0,492.516,0.133267,0.133267,0,0,0,0,0,
529.805,1.68e-05,0,463.372,0,0,-0.0740776,-64.7265,-0.000956593,-0.835838,0,-0.00247744,17.6128,0,492.514,0.140586,0.140586,0,0,0,0,0,
600,1.90259e-05,0,463.372,0,0,-0.069239,-69.5868,-0.000894111,-0.898601,0,-0.00262826,19.2471,0,492.514,0.142711,0.142711,0,0,0,0,0,
885.557,2.80808e-05,0,463.372,0,0,-0.062374,-87.3981,-0.000805461,-1.12861,0,-0.00276902,21.3989,0,492.512,0.147201,0.147201,0,0,0,0,0,
1313.89,4.16632e-05,0,463.372,0,0,-0.0626278,-114.224,-0.000808738,-1.47502,0,-0.00263412,23.6378,0,492.509,0.151054,0.151054,0,0,0,0,0,
1800,5.70776e-05,0,463.372,0,0,-0.0677241,-147.145,-0.00087455,-1.90014,0,-0.00234982,25.8286,0,492.506,0.153989,0.153989,0,0,0,0,0,
2529.16,8.01992e-05,0,463.372,0,0,-0.0772427,-203.467,-0.000997469,-2.62746,0,-0.00190198,28.07,0,492.501,0.156903,0.156903,0,0,0,0,0,
3600,0.000114155,0,463.372,0,0,-0.0887496,-298.504,-0.00114606,-3.85471,0,-0.00135578,30.4172,0,492.494,0.159509,0.159509,0,0,0,0,0,
5206.26,0.000165089,0,463.372,0,0,-0.0989544,-457.45,-0.00127785,-5.90726,0,-0.000775505,32.8519,0,492.483,0.161576,0.161576,0,0,0,0,0,
7615.64,0.00024149,0,463.372,0,0,-0.104275,-708.688,-0.00134655,-9.15162,0,-0.000231988,35.2902,0,492.467,0.163033,0.163033,0,0,0,0,0,
11229.7,0.000356092,0,463.372,0,0,-0.102929,-1080.68,-0.00132918,-13.9554,0,0.000226289,37.1899,0,492.443,0.164012,0.164012,0,0,0,0,0,
16952,0.000537545,0,463.372,0,0,-0.0959758,-1629.88,-0.00123939,-21.0475,0,0.000593768,39.2193,0,492.405,0.164689,0.164689,0,0,0,0,0,
26012.3,0.000824844,0,463.372,0,0,-0.0875048,-2422.7,-0.00113,-31.2857,0,0.000870374,41.2398,0,492.344,0.165142,0.165142,0,0,0,0,0,
40357.7,0.00127974,0,463.372,0,0,-0.0815042,-3591.92,-0.00105252,-46.3845,0,0.00107228,43.2317,0,492.249,0.165442,0.165442,0,0,0,0,0,
43200,0.00136986,0,463.372,0,0,-0.0805769,-3820.93,-0.00104054,-49.342,0,0.00110556,45.1835,0,492.23,0.165487,0.165487,0,0,0,0,0,
