time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.844,0,0,0.571597,5.71597,0.00679768,0.0679768,0,0.00414464,1.76114,0,483.506,0.11656,0.11656,0,0,0,0,0,
25,7.92745e-07,0,463.852,0,0,0.618894,14.9994,0.00736055,0.178385,0,0.0049024,3.70087,0,471.43,0.120647,0.120647,0,0,0,0,0,
47.5,1.50622e-06,0,463.866,0,0,0.66786,30.0262,0.00794356,0.357115,0,0.0056858,5.66592,0,456.189,0.124843,0.124843,0,0,0,0,0,
60,1.90259e-06,0,463.873,0,0,0.690847,38.6618,0.00821736,0.459832,0,0.00605366,7.2091,0,448.512,0.126883,0.126883,0,0,0,0,0,
95.625,3.03225e-06,0,463.896,0,0,0.738654,64.9764,0.00878727,0.772879,0,0.00682006,9.20047,0,430.877,0.130806,0.130806,0,0,0,0,0,
149.062,4.72674e-06,0,463.931,0,0,0.789865,107.185,0.00939861,1.27512,0,0.0076425,11.2075,0,410.998,0.135053,0.135053,0,0,0,0,0,
229.219,7.26848e-06,0,463.986,0,0,0.843248,174.776,0.0100373,2.07967,0,0.00850007,13.2106,0,390.337,0.139518,0.139518,0,0,0,0,0,
349.453,1.10811e-05,0,464.067,0,0,0.897351,282.669,0.0106868,3.36459,0,0.00936668,15.2953,0,370.913,0.144119,0.144119,0,0,0,0,0,
529.805,1.68e-05,0,464.185,0,0,0.950839,454.154,0.0113323,5.40838,0,0.0102169,17.3659,0,354.779,0.148686,0.148686,0,0,0,0,0,
600,1.90259e-05,0,464.231,0,0,0.968587,522.144,0.0115471,6.21894,0,0.0104978,18.9918,0,349.933,0.150239,0.150239,0,0,0,0,0,
885.557,2.80808e-05,0,464.396,0,0,1.01628,812.351,0.0121284,9.68229,0,0.0112428,21.1146,0,340.742,0.15406,0.15406,0,0,0,0,0,
1313.89,4.16632e-05,0,464.595,0,0,1.06206,1267.27,0.0126907,15.1182,0,0.0119468,23.283,0,335.79,0.157404,0.157404,0,0,0,0,0,
1800,5.70776e-05,0,464.763,0,0,1.09681,1800.44,0.0131199,21.4959,0,0.0124754,25.49,0,334.217,0.15961,0.15961,0,0,0,0,0,
2529.16,8.01992e-05,0,464.916,0,0,1.12957,2624.08,0.0135249,31.3577,0,0.0129728,27.6769,0,334.243,0.161303,0.161303,0,0,0,0,0,
3600,0.000114155,0,465.025,0,0,1.15778,3863.87,0.0138722,46.2125,0,0.0134057,29.9163,0,334.93,0.162384,0.162384,0,0,0,0,0,
5206.26,0.000165089,0,465.087,0,0,1.18077,5760.49,0.0141532,68.9462,0,0.0137654,31.6962,0,335.564,0.162944,0.162944,0,0,0,0,0,
