time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.845,0,0,0.67476,6.7476,0.00802459,0.0802459,0,0.00583772,1.65581,0,482.711,0.109776,0.109776,0,0,0,0,0,
25,7.92745e-07,0,463.854,0,0,0.696481,17.1948,0.0082834,0.204497,0,0.00617613,3.49368,0,469.548,0.113397,0.113397,0,0,0,0,0,
47.5,1.50622e-06,0,463.869,0,0,0.717017,33.3277,0.00852841,0.396386,0,0.00649312,5.35723,0,452.965,0.117372,0.117372,0,0,0,0,0,
60,1.90259e-06,0,463.877,0,0,0.726275,42.4061,0.00863895,0.504373,0,0.00663568,6.84635,0,444.639,0.119398,0.119398,0,0,0,0,0,
95.625,3.03225e-06,0,463.899,0,0,0.744992,68.9465,0.00886287,0.820112,0,0.00692446,8.71808,0,425.72,0.123512,0.123512,0,0,0,0,0,
149.062,4.72674e-06,0,463.933,0,0,0.765626,109.86,0.00911031,1.30694,0,0.00724471,10.6103,0,404.824,0.128305,0.128305,0,0,0,0,0,
229.219,7.26848e-06,0,463.984,0,0,0.78908,173.109,0.00939239,2.0598,0,0.0076109,12.5717,0,383.747,0.133653,0.133653,0,0,0,0,0,
349.453,1.10811e-05,0,464.057,0,0,0.816255,271.251,0.00972038,3.22853,0,0.00803622,14.5208,0,364.685,0.139355,0.139355,0,0,0,0,0,
529.805,1.68e-05,0,464.161,0,0,0.847909,424.173,0.010104,5.0508,0,0.00853052,16.4888,0,349.559,0.145003,0.145003,0,0,0,0,0,
600,1.90259e-05,0,464.201,0,0,0.859161,484.482,0.0102407,5.76965,0,0.0087059,18.0436,0,345.111,0.146889,0.146889,0,0,0,0,0,
885.557,2.80808e-05,0,464.346,0,0,0.894797,739.997,0.0106752,8.81803,0,0.00925794,20.1108,0,337.117,0.15136,0.15136,0,0,0,0,0,
1313.89,4.16632e-05,0,464.527,0,0,0.935273,1140.61,0.0111709,13.6029,0,0.00988084,22.1684,0,333.085,0.154926,0.154926,0,0,0,0,0,
