time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.844,0,0,0.597479,5.97479,0.00710549,0.0710549,0,0.00456941,2.24377,0,487.309,0.148211,0.148211,0,0,0,0,0,
24.1667,7.6632e-07,0,463.852,0,0,0.633694,14.9521,0.00753656,0.177823,0,0.00514621,3.83924,0,480.944,0.154036,0.154036,0,0,0,0,0,
46.5972,1.47759e-06,0,463.866,0,0,0.669311,29.9651,0.00796082,0.356388,0,0.00571039,5.92564,0,472.946,0.159883,0.159883,0,0,0,0,0,
60,1.90259e-06,0,463.874,0,0,0.686047,39.1601,0.0081603,0.465759,0,0.00597499,7.5713,0,468.753,0.162676,0.162676,0,0,0,0,0,
95.515,3.02876e-06,0,463.895,0,0,0.714962,64.552,0.00850541,0.767829,0,0.00643126,9.63513,0,460.188,0.167471,0.167471,0,0,0,0,0,
148.788,4.71802e-06,0,463.928,0,0,0.742022,104.081,0.00882916,1.23818,0,0.00685723,11.8131,0,450.79,0.171966,0.171966,0,0,0,0,0,
228.696,7.25192e-06,0,463.977,0,0,0.765989,165.291,0.00911716,1.96672,0,0.00723224,13.958,0,441.021,0.175923,0.175923,0,0,0,0,0,
348.56,1.10528e-05,0,464.048,0,0,0.785927,259.494,0.00935866,3.08848,0,0.00753939,16.2336,0,431.467,0.17922,0.17922,0,0,0,0,0,
528.355,1.6754e-05,0,464.145,0,0,0.801373,403.577,0.00954852,4.80526,0,0.00776891,18.4842,0,422.837,0.181851,0.181851,0,0,0,0,0,
600,1.90259e-05,0,464.183,0,0,0.805999,461.323,0.00960593,5.49348,0,0.0078359,20.1929,0,420.066,0.18266,0.18266,0,0,0,0,0,
884.675,2.80529e-05,0,464.312,0,0,0.814546,693.205,0.00971571,8.2593,0,0.00794671,22.5175,0,414.313,0.184412,0.184412,0,0,0,0,0,
1311.69,4.15934e-05,0,464.461,0,0,0.818536,1042.73,0.00977257,12.4323,0,0.00797774,24.9149,0,411.15,0.185825,0.185825,0,0,0,0,0,
1800,5.70776e-05,0,464.585,0,0,0.817771,1442.06,0.00977111,17.2037,0,0.00793607,27.3848,0,410.904,0.18677,0.18677,0,0,0,0,0,
2532.47,8.0304e-05,0,464.696,0,0,0.811129,2036.18,0.00969855,24.3075,0,0.0078,29.923,0,413.485,0.187569,0.187569,0,0,0,0,0,
