time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,-nan,-nan,0,0,-0.346662,-3.46662,-0.00447657,-0.0447657,0,-nan,1.76114,0,491.676,0.00876236,0.00876236,0,0,0,0,0,
25,7.92745e-07,-nan,-nan,0,0,-0.307579,-8.0803,-0.00397188,-0.104344,0,-nan,3.70087,0,491.676,0.019665,0.019665,0,0,0,0,0,
47.5,1.50622e-06,-nan,-nan,0,0,-0.270606,-14.1689,-0.00349443,-0.182969,0,-nan,5.66592,0,491.676,0.0326769,0.0326769,0,0,0,0,0,
60,1.90259e-06,-nan,-nan,0,0,-0.255026,-17.3568,-0.00329325,-0.224134,0,-nan,7.2091,0,491.676,0.0390863,0.0390863,0,0,0,0,0,
95.625,3.03225e-06,-nan,-nan,0,0,-0.231091,-25.5894,-0.00298417,-0.330445,0,-nan,9.20047,0,491.676,0.0531703,0.0531703,0,0,0,0,0,
149.062,4.72674e-06,-nan,-nan,0,0,-0.214387,-37.0457,-0.00276846,-0.478385,0,-nan,11.2075,0,491.676,0.0686107,0.0686107,0,0,0,0,0,
229.219,7.26848e-06,-nan,-nan,0,0,-0.203941,-53.3928,-0.00263357,-0.689482,0,-nan,13.2106,0,491.675,0.0843001,0.0843001,0,0,0,0,0,
349.453,1.10811e-05,-nan,-nan,0,0,-0.197407,-77.1279,-0.00254919,-0.995982,0,-nan,15.2953,0,491.674,0.0987095,0.0987095,0,0,0,0,0,
529.805,1.68e-05,-nan,-nan,0,0,-0.192701,-111.882,-0.00248843,-1.44477,0,-nan,17.3659,0,491.673,0.110574,0.110574,0,0,0,0,0,
600,1.90259e-05,-nan,-nan,0,0,-0.191278,-125.309,-0.00247005,-1.61816,0,-nan,18.9918,0,491.673,0.114149,0.114149,0,0,0,0,0,
885.557,2.80808e-05,-nan,-nan,0,0,-0.188301,-179.079,-0.00243161,-2.31252,0,-nan,21.1146,0,491.671,0.121779,0.121779,0,0,0,0,0,
1313.89,4.16632e-05,-nan,-nan,0,0,-0.187459,-259.375,-0.00242073,-3.34941,0,-nan,23.283,0,491.668,0.127873,0.127873,0,0,0,0,0,
1800,5.70776e-05,-nan,-nan,0,0,-0.189243,-351.367,-0.00244377,-4.53734,0,-nan,25.49,0,491.665,0.132157,0.132157,0,0,0,0,0,
2529.16,8.01992e-05,-nan,-nan,0,0,-0.194833,-493.432,-0.00251597,-6.37189,0,-nan,27.6769,0,491.661,0.136162,0.136162,0,0,0,0,0,
3600,0.000114155,-nan,-nan,0,0,-0.20543,-713.415,-0.00265281,-9.21262,0,-nan,29.9163,0,491.654,0.139592,0.139592,0,0,0,0,0,
5206.26,0.000165089,-nan,-nan,0,0,-0.222411,-1070.66,-0.00287209,-13.8259,0,-nan,31.6962,0,491.644,0.142172,0.142172,0,0,0,0,0,
7749.49,0.000245735,-nan,-nan,0,0,-0.246808,-1698.36,-0.00318715,-21.9316,0,-nan,33.5174,0,491.628,0.14384,0.14384,0,0,0,0,0,
11776.3,0.000373424,-nan,-nan,0,0,-0.275575,-2808.04,-0.00355863,-36.2615,0,-nan,35.8562,0,491.603,0.144749,0.144749,0,0,0,0,0,
17816.5,0.000564957,-nan,-nan,0,0,-0.301482,-4629.05,-0.00389319,-59.7771,0,-nan,37.712,0,491.565,0.14519,0.14519,0,0,0,0,0,
27380.1,0.000868218,-nan,-nan,0,0,-0.320286,-7692.15,-0.00413602,-99.3325,0,-nan,39.5274,0,491.506,0.145404,0.145404,0,0,0,0,0,
42522.5,0.00134838,-nan,-nan,0,0,-0.330315,-12693.9,-0.00426552,-163.923,0,-nan,41.418,0,491.412,0.145501,0.145501,0,0,0,0,0,
43200,0.00136986,-nan,-nan,0,0,-0.330727,-12918,-0.00427085,-166.816,0,-nan,42.6879,0,491.408,0.145505,0.145505,0,0,0,0,0,
68437.4,0.00217013,-nan,-nan,0,0,-0.334259,-21353.8,-0.00431645,-275.752,0,-nan,44.6166,0,491.251,0.145544,0.145544,0,0,0,0,0,
86400,0.00273973,-nan,-nan,0,0,-0.33501,-27371.4,-0.00432616,-353.461,0,-nan,46.6234,0,491.14,0.145558,0.145558,0,0,0,0,0,
126359,0.00400682,-nan,-nan,0,0,-0.335335,-40771.2,-0.00433036,-526.499,0,-nan,48.5291,0,490.892,0.145572,0.145572,0,0,0,0,0,
189628,0.00601306,-nan,-nan,0,0,-0.335516,-61998.8,-0.0043327,-800.624,0,-nan,50.6106,0,490.502,0.145589,0.145589,0,0,0,0,0,
289803,0.0091896,-nan,-nan,0,0,-0.335755,-95633.3,-0.00433579,-1234.96,0,-nan,52.5127,0,489.887,0.145614,0.145614,0,0,0,0,0,
448414,0.0142191,-nan,-nan,0,0,-0.336128,-148947,-0.00434061,-1923.43,0,-nan,54.4553,0,488.921,0.145654,0.145654,0,0,0,0,0,
699549,0.0221825,-nan,-nan,0,0,-0.336714,-233507,-0.00434817,-3015.41,0,-nan,56.5081,0,487.409,0.145728,0.145728,0,0,0,0,0,
864000,0.0273973,-nan,-nan,0,0,-0.337095,-288943,-0.0043531,-3731.28,0,-nan,58.4204,0,486.427,0.14577,0.14577,0,0,0,0,0,
1.26163e+06,0.040006,-nan,-nan,0,0,-0.338001,-423342,-0.00436481,-5466.86,0,-nan,60.3166,0,484.096,0.145876,0.145876,0,0,0,0,0,
1.89121e+06,0.0599698,-nan,-nan,0,0,-0.339402,-637023,-0.00438291,-8226.25,0,-nan,62.3032,0,480.515,0.146045,0.146045,0,0,0,0,0,
2.592e+06,0.0821918,-nan,-nan,0,0,-0.340921,-875937,-0.00440254,-11311.5,0,-nan,64.3197,0,476.657,0.146233,0.146233,0,0,0,0,0,
3.70159e+06,0.117377,-nan,-nan,0,0,-0.343231,-1.25678e+06,-0.00443239,-16229.6,0,-nan,66.2633,0,470.854,0.146525,0.146525,0,0,0,0,0,
5.45843e+06,0.173086,-nan,-nan,0,0,-0.346678,-1.86584e+06,-0.00447694,-24094.9,0,-nan,68.2913,0,462.367,0.146981,0.146981,0,0,0,0,0,
7.776e+06,0.246575,-nan,-nan,0,0,-0.350909,-2.6791e+06,-0.00453162,-34597.2,0,-nan,70.2483,0,452.26,0.147571,0.147571,0,0,0,0,0,
1.14455e+07,0.362934,-nan,-nan,0,0,-0.356964,-3.98897e+06,-0.00460988,-51513.2,0,-nan,72.6566,0,438.554,0.148457,0.148457,0,0,0,0,0,
1.5552e+07,0.493151,-nan,-nan,0,0,-0.36309,-5.48e+06,-0.00468907,-70768.9,0,-nan,75.1599,0,425.59,0.149402,0.149402,0,0,0,0,0,
2.17118e+07,0.688476,-nan,-nan,0,0,-0.371161,-7.76627e+06,-0.0047934,-100295,0,-nan,78.2965,0,410.229,0.150704,0.150704,0,0,0,0,0,
3.04381e+07,0.965186,-nan,-nan,0,0,-0.380973,-1.10908e+07,-0.00492028,-143231,0,-nan,80.8089,0,394.226,0.152409,0.152409,0,0,0,0,0,
3.1104e+07,0.986301,-nan,-nan,0,0,-0.381712,-1.13449e+07,-0.00492983,-146514,0,-nan,82.7479,0,393.038,0.152558,0.152558,0,0,0,0,0,
4.1104e+07,1.3034,-nan,-nan,0,0,-0.391301,-1.5258e+07,-0.00505383,-197052,0,-nan,85.2711,0,380.127,0.15419,0.15419,0,0,0,0,0,
5.1104e+07,1.6205,-nan,-nan,0,0,-0.399728,-1.92552e+07,-0.00516281,-248680,0,-nan,87.7341,0,370.582,0.15557,0.15557,0,0,0,0,0,
6.1104e+07,1.9376,-nan,-nan,0,0,-0.407233,-2.33276e+07,-0.00525988,-301279,0,-nan,90.1927,0,363.355,0.156726,0.156726,0,0,0,0,0,
6.2208e+07,1.9726,-nan,-nan,0,0,-0.408051,-2.37781e+07,-0.00527045,-307098,0,-nan,92.0875,0,362.584,0.156858,0.156858,0,0,0,0,0,
7.2208e+07,2.2897,-nan,-nan,0,0,-0.414725,-2.79253e+07,-0.00535679,-360666,0,-nan,94.5934,0,357.143,0.157814,0.157814,0,0,0,0,0,
8.2208e+07,2.6068,-nan,-nan,0,0,-0.420783,-3.21331e+07,-0.00543515,-415017,0,-nan,97.0749,0,352.797,0.158644,0.158644,0,0,0,0,0,
9.2208e+07,2.9239,-nan,-nan,0,0,-0.426317,-3.63963e+07,-0.00550674,-470084,0,-nan,99.5127,0,349.243,0.159373,0.159373,0,0,0,0,0,
9.3312e+07,2.9589,-nan,-nan,0,0,-0.426921,-3.68676e+07,-0.00551456,-476173,0,-nan,101.439,0,348.86,0.159455,0.159455,0,0,0,0,0,
1.03312e+08,3.276,-nan,-nan,0,0,-0.431956,-4.11872e+07,-0.00557969,-531969,0,-nan,103.442,0,345.95,0.1601,0.1601,0,0,0,0,0,
1.13312e+08,3.5931,-nan,-nan,0,0,-0.436602,-4.55532e+07,-0.0056398,-588367,0,-nan,105.923,0,343.462,0.16069,0.16069,0,0,0,0,0,
1.23312e+08,3.9102,-nan,-nan,0,0,-0.440905,-4.99623e+07,-0.00569547,-645322,0,-nan,107.883,0,341.301,0.161237,0.161237,0,0,0,0,0,
1.24e+08,3.93201,-nan,-nan,0,0,-0.441199,-5.02658e+07,-0.00569927,-649243,0,-nan,109.753,0,341.154,0.161276,0.161276,0,0,0,0,0,
