time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,-nan,-nan,0,0,-0.346662,-3.46662,-0.00447657,-0.0447657,0,-nan,1.65581,0,491.676,0.00875658,0.00875658,0,0,0,0,0,
25,7.92745e-07,-nan,-nan,0,0,-0.307579,-8.0803,-0.00397188,-0.104344,0,-nan,3.49368,0,491.676,0.0196279,0.0196279,0,0,0,0,0,
47.5,1.50622e-06,-nan,-nan,0,0,-0.270606,-14.1689,-0.00349443,-0.182969,0,-nan,5.35723,0,491.676,0.0325361,0.0325361,0,0,0,0,0,
60,1.90259e-06,-nan,-nan,0,0,-0.255026,-17.3568,-0.00329325,-0.224134,0,-nan,6.84635,0,491.676,0.0388707,0.0388707,0,0,0,0,0,
95.625,3.03225e-06,-nan,-nan,0,0,-0.231091,-25.5894,-0.00298417,-0.330445,0,-nan,8.71808,0,491.676,0.0526437,0.0526437,0,0,0,0,0,
149.062,4.72674e-06,-nan,-nan,0,0,-0.214389,-37.0458,-0.00276849,-0.478386,0,-nan,10.6103,0,491.676,0.0675243,0.0675243,0,0,0,0,0,
229.219,7.26848e-06,-nan,-nan,0,0,-0.203958,-53.3943,-0.00263379,-0.689501,0,-nan,12.5717,0,491.675,0.0824019,0.0824019,0,0,0,0,0,
349.453,1.10811e-05,-nan,-nan,0,0,-0.19749,-77.1394,-0.00255026,-0.99613,0,-nan,14.5208,0,491.674,0.0958953,0.0958953,0,0,0,0,0,
529.805,1.68e-05,-nan,-nan,0,0,-0.192973,-111.942,-0.00249194,-1.44555,0,-nan,16.4888,0,491.673,0.107006,0.107006,0,0,0,0,0,
600,1.90259e-05,-nan,-nan,0,0,-0.191634,-125.394,-0.00247465,-1.61926,0,-nan,18.0436,0,491.673,0.110368,0.110368,0,0,0,0,0,
885.557,2.80808e-05,-nan,-nan,0,0,-0.189006,-179.366,-0.00244071,-2.31622,0,-nan,20.1108,0,491.671,0.117746,0.117746,0,0,0,0,0,
1313.89,4.16632e-05,-nan,-nan,0,0,-0.188424,-260.075,-0.00243319,-3.35844,0,-nan,22.1684,0,491.668,0.123799,0.123799,0,0,0,0,0,
1800,5.70776e-05,-nan,-nan,0,0,-0.190134,-352.5,-0.00245527,-4.55197,0,-nan,24.2935,0,491.665,0.128012,0.128012,0,0,0,0,0,
2529.16,8.01992e-05,-nan,-nan,0,0,-0.195003,-494.689,-0.00251815,-6.38811,0,-nan,26.3946,0,491.66,0.131704,0.131704,0,0,0,0,0,
3600,0.000114155,-nan,-nan,0,0,-0.20369,-712.808,-0.00263034,-9.20477,0,-nan,28.5561,0,491.654,0.134559,0.134559,0,0,0,0,0,
5206.26,0.000165089,-nan,-nan,0,0,-0.216636,-1060.78,-0.00279752,-13.6983,0,-nan,30.7009,0,491.644,0.136528,0.136528,0,0,0,0,0,
7615.64,0.00024149,-nan,-nan,0,0,-0.232592,-1621.18,-0.00300357,-20.935,0,-nan,32.4318,0,491.628,0.137795,0.137795,0,0,0,0,0,
11430.5,0.000362459,-nan,-nan,0,0,-0.248396,-2568.78,-0.00320765,-33.1718,0,-nan,34.2218,0,491.605,0.138714,0.138714,0,0,0,0,0,
17470.7,0.000553992,-nan,-nan,0,0,-0.2584,-4129.57,-0.00333684,-53.3269,0,-nan,35.9504,0,491.567,0.139518,0.139518,0,0,0,0,0,
27034.3,0.000857253,-nan,-nan,0,0,-0.259696,-6613.2,-0.00335357,-85.3992,0,-nan,37.7389,0,491.507,0.140283,0.140283,0,0,0,0,0,
