time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,-nan,-nan,0,0,-0.346662,-3.46662,-0.00447657,-0.0447657,0,-nan,2.24377,0,491.676,0.00878938,0.00878938,0,0,0,0,0,
24.1667,7.6632e-07,-nan,-nan,0,0,-0.309161,-7.8464,-0.00399232,-0.101324,0,-nan,3.83924,0,491.676,0.0193055,0.0193055,0,0,0,0,0,
46.5972,1.47759e-06,-nan,-nan,0,0,-0.271687,-13.9405,-0.00350839,-0.180019,0,-nan,5.92564,0,491.676,0.0328534,0.0328534,0,0,0,0,0,
60,1.90259e-06,-nan,-nan,0,0,-0.254994,-17.3581,-0.00329283,-0.224152,0,-nan,7.5713,0,491.676,0.0400998,0.0400998,0,0,0,0,0,
95.515,3.02876e-06,-nan,-nan,0,0,-0.231115,-25.5662,-0.00298448,-0.330146,0,-nan,9.63513,0,491.676,0.0556315,0.0556315,0,0,0,0,0,
148.788,4.71802e-06,-nan,-nan,0,0,-0.214425,-36.9891,-0.00276895,-0.477655,0,-nan,11.8131,0,491.676,0.0738415,0.0738415,0,0,0,0,0,
228.696,7.25192e-06,-nan,-nan,0,0,-0.203965,-53.2878,-0.00263388,-0.688125,0,-nan,13.958,0,491.675,0.0939498,0.0939498,0,0,0,0,0,
348.56,1.10528e-05,-nan,-nan,0,0,-0.197379,-76.9463,-0.00254883,-0.993637,0,-nan,16.2336,0,491.674,0.114263,0.114263,0,0,0,0,0,
528.355,1.6754e-05,-nan,-nan,0,0,-0.19251,-111.559,-0.00248596,-1.4406,0,-nan,18.4842,0,491.673,0.13278,0.13278,0,0,0,0,0,
600,1.90259e-05,-nan,-nan,0,0,-0.190979,-125.241,-0.00246619,-1.61729,0,-nan,20.1929,0,491.673,0.138731,0.138731,0,0,0,0,0,
884.675,2.80529e-05,-nan,-nan,0,0,-0.187538,-178.629,-0.00242175,-2.3067,0,-nan,22.5175,0,491.671,0.152086,0.152086,0,0,0,0,0,
1311.69,4.15934e-05,-nan,-nan,0,0,-0.185917,-258.017,-0.00240081,-3.33188,0,-nan,24.9149,0,491.669,0.162872,0.162872,0,0,0,0,0,
1800,5.70776e-05,-nan,-nan,0,0,-0.186995,-349.33,-0.00241475,-4.51103,0,-nan,27.3848,0,491.666,0.170075,0.170075,0,0,0,0,0,
2532.47,8.0304e-05,-nan,-nan,0,0,-0.1922,-490.11,-0.00248196,-6.32899,0,-nan,29.923,0,491.661,0.176225,0.176225,0,0,0,0,0,
3600,0.000114155,-nan,-nan,0,0,-0.203575,-707.432,-0.00262885,-9.13536,0,-nan,32.4414,0,491.655,0.181248,0.181248,0,0,0,0,0,
5201.3,0.000164932,-nan,-nan,0,0,-0.224337,-1066.66,-0.00289697,-13.7743,0,-nan,35.1303,0,491.646,0.185296,0.185296,0,0,0,0,0,
7603.25,0.000241097,-nan,-nan,0,0,-0.257323,-1684.74,-0.00332295,-21.7558,0,-nan,37.8212,0,491.632,0.1883,0.1883,0,0,0,0,0,
11206.2,0.000355345,-nan,-nan,0,0,-0.303242,-2777.3,-0.00391595,-35.8647,0,-nan,40.4778,0,491.611,0.190162,0.190162,0,0,0,0,0,
16610.6,0.000526717,-nan,-nan,0,0,-0.359239,-4718.76,-0.00463909,-60.9361,0,-nan,42.6498,0,491.579,0.19088,0.19088,0,0,0,0,0,
25167.5,0.000798056,-nan,-nan,0,0,-0.421572,-8326.13,-0.00544407,-107.521,0,-nan,45.4565,0,491.529,0.190647,0.190647,0,0,0,0,0,
38002.9,0.00120506,-nan,-nan,0,0,-0.479302,-14478.2,-0.00618964,-186.967,0,-nan,48.2556,0,491.454,0.189899,0.189899,0,0,0,0,0,
43200,0.00136986,-nan,-nan,0,0,-0.498113,-17066.9,-0.00643257,-220.398,0,-nan,50.3801,0,491.424,0.189601,0.189601,0,0,0,0,0,
63522.7,0.00201429,-nan,-nan,0,0,-0.537432,-27989,-0.00694036,-361.445,0,-nan,53.1418,0,491.305,0.18887,0.18887,0,0,0,0,0,
86400,0.00273973,-nan,-nan,0,0,-0.56049,-40811.5,-0.00723816,-527.034,0,-nan,56.1358,0,491.172,0.188418,0.188418,0,0,0,0,0,
120716,0.00382788,-nan,-nan,0,0,-0.575391,-60556.5,-0.0074306,-782.022,0,-nan,59.0678,0,490.972,0.188123,0.188123,0,0,0,0,0,
172190,0.0054601,-nan,-nan,0,0,-0.583005,-90566,-0.00752893,-1169.57,0,-nan,61.433,0,490.673,0.187973,0.187973,0,0,0,0,0,
253690,0.00804446,-nan,-nan,0,0,-0.586004,-138326,-0.00756767,-1786.33,0,-nan,63.9686,0,490.201,0.187919,0.187919,0,0,0,0,0,
382732,0.0121364,-nan,-nan,0,0,-0.586847,-214053,-0.00757855,-2764.28,0,-nan,66.4157,0,489.458,0.18791,0.18791,0,0,0,0,0,
587049,0.0186152,-nan,-nan,0,0,-0.58704,-333995,-0.00758105,-4313.22,0,-nan,68.7439,0,488.293,0.187923,0.187923,0,0,0,0,0,
864000,0.0273973,-nan,-nan,0,0,-0.587115,-496598,-0.00758201,-6413.07,0,-nan,70.9972,0,486.734,0.187945,0.187945,0,0,0,0,0,
1.30251e+06,0.0413022,-nan,-nan,0,0,-0.587204,-754090,-0.00758317,-9738.33,0,-nan,73.234,0,484.315,0.187975,0.187975,0,0,0,0,0,
1.99681e+06,0.0633183,-nan,-nan,0,0,-0.58734,-1.16188e+06,-0.00758492,-15004.6,0,-nan,75.6018,0,480.604,0.188025,0.188025,0,0,0,0,0,
2.592e+06,0.0821918,-nan,-nan,0,0,-0.587453,-1.51153e+06,-0.00758639,-19519.9,0,-nan,77.8226,0,477.508,0.188068,0.188068,0,0,0,0,0,
3.69131e+06,0.117051,-nan,-nan,0,0,-0.587654,-2.15754e+06,-0.00758898,-27862.6,0,-nan,80.0596,0,472.067,0.188144,0.188144,0,0,0,0,0,
5.43189e+06,0.172244,-nan,-nan,0,0,-0.587953,-3.18092e+06,-0.00759284,-41078.5,0,-nan,82.4716,0,464.088,0.18826,0.18826,0,0,0,0,0,
7.776e+06,0.246575,-nan,-nan,0,0,-0.588327,-4.56003e+06,-0.00759768,-58888.3,0,-nan,84.7221,0,454.378,0.18841,0.18841,0,0,0,0,0,
