time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.827,0,0,0.547159,5.47159,0.00650638,0.0650638,0,0.00366549,1.606,0,482.423,0.107303,0.107303,0,0,0,0,0,
25,7.92745e-07,0,463.835,0,0,0.580405,14.1777,0.00690205,0.168595,0,0.00417464,3.40439,0,468.897,0.110923,0.110923,0,0,0,0,0,
47.5,1.50622e-06,0,463.847,0,0,0.613918,27.9908,0.00730115,0.33287,0,0.00468853,5.16476,0,451.885,0.114883,0.114883,0,0,0,0,0,
60,1.90259e-06,0,463.854,0,0,0.629444,35.8589,0.00748613,0.426447,0,0.00492731,6.95852,0,443.354,0.116905,0.116905,0,0,0,0,0,
93.75,2.97279e-06,0,463.874,0,0,0.66028,58.1433,0.00785383,0.691514,0,0.00540512,8.6779,0,424.856,0.120855,0.120855,0,0,0,0,0,
144.375,4.5781e-06,0,463.903,0,0,0.694279,93.2912,0.00825979,1.10967,0,0.00593567,10.4071,0,404.263,0.125549,0.125549,0,0,0,0,0,
220.312,6.98606e-06,0,463.949,0,0,0.731483,148.838,0.00870491,1.77069,0,0.00651838,12.1571,0,383.332,0.1309,0.1309,0,0,0,0,0,
334.219,1.0598e-05,0,464.017,0,0,0.771669,236.736,0.0091871,2.81716,0,0.00714702,13.9283,0,364.268,0.136723,0.136723,0,0,0,0,0,
505.078,1.60159e-05,0,464.116,0,0,0.814413,375.886,0.0097021,4.47486,0,0.00781155,15.6973,0,349.03,0.142592,0.142592,0,0,0,0,0,
600,1.90259e-05,0,464.17,0,0,0.834407,455.09,0.00994369,5.41873,0,0.00812088,17.4505,0,343.196,0.145224,0.145224,0,0,0,0,0,
856.289,2.71527e-05,0,464.304,0,0,0.873613,678.987,0.0104198,8.08921,0,0.00872129,19.2311,0,335.946,0.149566,0.149566,0,0,0,0,0,
1240.72,3.93431e-05,0,464.479,0,0,0.915116,1030.79,0.0109269,12.2899,0,0.00934917,21.081,0,332.103,0.153173,0.153173,0,0,0,0,0,
1800,5.70776e-05,0,464.679,0,0,0.956986,1566.01,0.0114413,18.6887,0,0.009976,22.9159,0,330.892,0.155708,0.155708,0,0,0,0,0,
2638.92,8.36795e-05,0,464.883,0,0,0.999701,2404.67,0.0119674,28.7284,0,0.0106137,24.7908,0,331.045,0.157271,0.157271,0,0,0,0,0,
3600,0.000114155,0,465.031,0,0,1.03481,3399.21,0.0123993,40.6452,0,0.0111413,26.6552,0,331.471,0.158019,0.158019,0,0,0,0,0,
5041.63,0.000159869,0,465.151,0,0,1.07175,4944.27,0.0128516,59.1724,0,0.0117045,28.5946,0,331.874,0.158479,0.158479,0,0,0,0,0,
7204.06,0.000228439,0,465.237,0,0,1.10996,7344.48,0.013317,87.9696,0,0.0122966,30.0692,0,332.185,0.158822,0.158822,0,0,0,0,0,
