time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.827,0,0,0.534978,5.34978,0.00636153,0.0636153,0,0.00346947,1.48077,0,482.588,0.108715,0.108715,0,0,0,0,0,
25,7.92745e-07,0,463.835,0,0,0.577437,14.0113,0.00686675,0.166617,0,0.00412685,3.15269,0,469.249,0.112213,0.112213,0,0,0,0,0,
47.5,1.50622e-06,0,463.847,0,0,0.621525,27.9957,0.00739162,0.332928,0,0.00481093,4.85869,0,452.432,0.116052,0.116052,0,0,0,0,0,
60,1.90259e-06,0,463.854,0,0,0.642263,36.0239,0.00763859,0.42841,0,0.00513361,6.5369,0,443.987,0.118017,0.118017,0,0,0,0,0,
93.75,2.97279e-06,0,463.874,0,0,0.684297,59.119,0.00813955,0.70312,0,0.00579164,8.19793,0,425.628,0.121858,0.121858,0,0,0,0,0,
144.375,4.5781e-06,0,463.906,0,0,0.731279,96.14,0.00870012,1.14356,0,0.00653106,9.92537,0,405.122,0.126435,0.126435,0,0,0,0,0,
220.312,6.98606e-06,0,463.955,0,0,0.782943,155.595,0.00931765,1.85112,0,0.00734609,11.674,0,384.204,0.131668,0.131668,0,0,0,0,0,
334.219,1.0598e-05,0,464.029,0,0,0.838454,251.1,0.00998297,2.98825,0,0.00822031,13.3973,0,365.072,0.137379,0.137379,0,0,0,0,0,
505.078,1.60159e-05,0,464.138,0,0,0.89657,404.287,0.0106823,4.81342,0,0.00912998,15.162,0,349.705,0.143146,0.143146,0,0,0,0,0,
600,1.90259e-05,0,464.198,0,0,0.923443,491.942,0.0110067,5.8582,0,0.00954861,16.9219,0,343.804,0.145732,0.145732,0,0,0,0,0,
856.289,2.71527e-05,0,464.347,0,0,0.974809,741.775,0.0116299,8.83883,0,0.0103408,18.696,0,336.413,0.149983,0.149983,0,0,0,0,0,
1240.72,3.93431e-05,0,464.536,0,0,1.02749,1136.78,0.0122731,13.557,0,0.0111437,20.528,0,332.431,0.153473,0.153473,0,0,0,0,0,
1800,5.70776e-05,0,464.737,0,0,1.07881,1740.13,0.0129025,20.7731,0,0.0119192,22.4199,0,331.084,0.155857,0.155857,0,0,0,0,0,
2638.92,8.36795e-05,0,464.916,0,0,1.12921,2687.44,0.0135205,32.1157,0,0.0126826,24.2872,0,331.091,0.157237,0.157237,0,0,0,0,0,
3600,0.000114155,0,465.024,0,0,1.16915,3811.09,0.0140083,45.5789,0,0.0132943,26.1781,0,331.39,0.157832,0.157832,0,0,0,0,0,
5041.63,0.000159869,0,465.093,0,0,1.20913,5554.2,0.0144937,66.4734,0,0.0139167,28.0621,0,331.666,0.158149,0.158149,0,0,0,0,0,
7204.06,0.000228439,0,465.133,0,0,1.24741,8251.65,0.0149563,98.8154,0,0.0145203,29.5625,0,331.865,0.158366,0.158366,0,0,0,0,0,
10627.9,0.000337009,0,465.157,0,0,1.28371,12646.9,0.0153939,151.522,0,0.0150967,31.0987,0,332.039,0.158581,0.158581,0,0,0,0,0,
16049,0.000508912,0,465.174,0,0,1.3162,19782.2,0.0157852,237.095,0,0.0156137,32.6576,0,332.216,0.158811,0.158811,0,0,0,0,0,
24632.5,0.000781091,0,465.188,0,0,1.34352,31314.2,0.0161143,375.411,0,0.0160487,34.2064,0,332.389,0.159041,0.159041,0,0,0,0,0,
38222.9,0.00121204,0,465.199,0,0,1.36439,49856.8,0.0163656,597.827,0,0.0163807,35.8026,0,332.535,0.159239,0.159239,0,0,0,0,0,
43200,0.00136986,0,465.202,0,0,1.37002,56675.6,0.0164336,679.619,0,0.0164703,37.3333,0,332.576,0.159294,0.159294,0,0,0,0,0,
64718.2,0.0020522,0,465.208,0,0,1.38027,86376.4,0.0165571,1035.9,0,0.0166331,38.8437,0,332.645,0.159402,0.159402,0,0,0,0,0,
86400,0.00273973,0,465.211,0,0,1.38467,116398,0.0166102,1396.04,0,0.0167029,40.3665,0,332.669,0.159452,0.159452,0,0,0,0,0,
120730,0.00382831,0,465.213,0,0,1.38681,164007,0.0166361,1967.15,0,0.0167368,41.8918,0,332.668,0.159482,0.159482,0,0,0,0,0,
175085,0.0055519,0,465.215,0,0,1.38731,239414,0.0166423,2871.74,0,0.0167443,43.4609,0,332.643,0.159501,0.159501,0,0,0,0,0,
261147,0.00828091,0,465.218,0,0,1.38689,358773,0.0166375,4303.6,0,0.016737,45.0664,0,332.593,0.159519,0.159519,0,0,0,0,0,
397412,0.0126019,0,465.221,0,0,1.38587,547619,0.0166257,6569.1,0,0.0167199,46.6351,0,332.512,0.159544,0.159544,0,0,0,0,0,
613165,0.0194433,0,465.226,0,0,1.38422,846268,0.0166064,10152,0,0.0166921,48.1881,0,332.383,0.159582,0.159582,0,0,0,0,0,
864000,0.0273973,0,465.232,0,0,1.3823,1.193e+06,0.016584,14311.8,0,0.0166599,49.7409,0,332.235,0.159626,0.159626,0,0,0,0,0,
1.26115e+06,0.039991,0,465.241,0,0,1.37931,1.7408e+06,0.0165491,20884.4,0,0.0166097,51.32,0,332.003,0.159695,0.159695,0,0,0,0,0,
1.88998e+06,0.059931,0,465.255,0,0,1.37467,2.60523e+06,0.0164949,31256.8,0,0.0165317,52.8995,0,331.642,0.159802,0.159802,0,0,0,0,0,
2.592e+06,0.0821918,0,465.271,0,0,1.3696,3.56671e+06,0.0164357,42794.9,0,0.0164467,54.4534,0,331.248,0.159918,0.159918,0,0,0,0,0,
3.70353e+06,0.117438,0,465.294,0,0,1.36185,5.08045e+06,0.0163451,60962.9,0,0.0163167,56.0161,0,330.644,0.160095,0.160095,0,0,0,0,0,
5.46344e+06,0.173245,0,465.328,0,0,1.35022,7.45673e+06,0.0162089,89489.3,0,0.0161219,57.9858,0,329.735,0.160362,0.160362,0,0,0,0,0,
7.776e+06,0.246575,0,465.369,0,0,1.33591,1.05461e+07,0.0160413,126586,0,0.0158824,59.999,0,328.616,0.160689,0.160689,0,0,0,0,0,
1.12448e+07,0.356571,0,465.423,0,0,1.31634,1.51123e+07,0.0158116,181434,0,0.0155554,62.0881,0,327.094,0.161135,0.161135,0,0,0,0,0,
1.5552e+07,0.493151,0,465.481,0,0,1.29445,2.06877e+07,0.0155544,248429,0,0.0151903,64.1079,0,325.409,0.161634,0.161634,0,0,0,0,0,
2.20127e+07,0.69802,0,465.554,0,0,1.26592,2.88665e+07,0.0152186,346753,0,0.0147152,66.0582,0,323.268,0.162282,0.162282,0,0,0,0,0,
3.1104e+07,0.986301,0,465.638,0,0,1.23208,4.00677e+07,0.0148196,481481,0,0.0141526,68.0771,0,320.842,0.16305,0.16305,0,0,0,0,0,
4.1104e+07,1.3034,0,465.715,0,0,1.20047,5.20724e+07,0.0144464,625945,0,0.0136276,70.0608,0,318.702,0.163767,0.163767,0,0,0,0,0,
5.1104e+07,1.6205,0,465.781,0,0,1.17315,6.38039e+07,0.0141235,767180,0,0.0131741,72.0826,0,316.965,0.164388,0.164388,0,0,0,0,0,
6.1104e+07,1.9376,0,465.84,0,0,1.1492,7.52958e+07,0.0138402,905583,0,0.0127766,74.093,0,315.539,0.164932,0.164932,0,0,0,0,0,
6.2208e+07,1.9726,0,465.846,0,0,1.14658,7.65617e+07,0.0138093,920828,0,0.0127332,75.6508,0,315.383,0.164992,0.164992,0,0,0,0,0,
7.2208e+07,2.2897,0,465.899,0,0,1.12562,8.78178e+07,0.0135613,1.05644e+06,0,0.0123853,77.6292,0,314.229,0.165469,0.165469,0,0,0,0,0,
8.2208e+07,2.6068,0,465.947,0,0,1.10679,9.88858e+07,0.0133385,1.18983e+06,0,0.0120728,79.6811,0,313.261,0.165898,0.165898,0,0,0,0,0,
9.2208e+07,2.9239,0,465.991,0,0,1.08974,1.09783e+08,0.0131366,1.32119e+06,0,0.0117896,81.2815,0,312.439,0.166287,0.166287,0,0,0,0,0,
9.3312e+07,2.9589,0,465.996,0,0,1.08788,1.10984e+08,0.0131146,1.33567e+06,0,0.0117587,82.8807,0,312.349,0.16633,0.16633,0,0,0,0,0,
1.03312e+08,3.276,0,466.037,0,0,1.07247,1.21709e+08,0.0129322,1.46499e+06,0,0.0115027,84.9555,0,311.658,0.166682,0.166682,0,0,0,0,0,
1.13312e+08,3.5931,0,466.075,0,0,1.05832,1.32292e+08,0.0127646,1.59264e+06,0,0.0112674,86.9725,0,311.06,0.167005,0.167005,0,0,0,0,0,
1.23312e+08,3.9102,0,466.112,0,0,1.04524,1.42744e+08,0.0126097,1.71874e+06,0,0.0110499,88.6089,0,310.54,0.167304,0.167304,0,0,0,0,0,
1.24e+08,3.93201,0,466.115,0,0,1.04434,1.43463e+08,0.0125991,1.7274e+06,0,0.011035,90.2014,0,310.504,0.167324,0.167324,0,0,0,0,0,
