time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.826,0,0,0.423541,4.23541,0.00503638,0.0503638,0,0.00167615,1.5707,0,481.816,0.102065,0.102065,0,0,0,0,0,
25,7.92745e-07,0,463.832,0,0,0.43551,10.7681,0.00517889,0.128047,0,0.0018425,3.41088,0,467.443,0.10512,0.10512,0,0,0,0,0,
47.5,1.50622e-06,0,463.841,0,0,0.449122,20.8733,0.00534106,0.248221,0,0.00203587,5.22339,0,449.382,0.108726,0.108726,0,0,0,0,0,
60,1.90259e-06,0,463.846,0,0,0.4558,26.5708,0.00542065,0.315979,0,0.0021322,6.92071,0,440.345,0.110663,0.110663,0,0,0,0,0,
93.75,2.97279e-06,0,463.859,0,0,0.470296,42.4433,0.00559353,0.504761,0,0.00234721,8.67682,0,420.902,0.114628,0.114628,0,0,0,0,0,
144.375,4.5781e-06,0,463.88,0,0,0.48785,67.1407,0.00580307,0.798541,0,0.00261394,10.4714,0,399.571,0.119643,0.119643,0,0,0,0,0,
220.312,6.98606e-06,0,463.912,0,0,0.50919,105.807,0.00605813,1.25858,0,0.00294333,12.2744,0,378.365,0.12564,0.12564,0,0,0,0,0,
334.219,1.0598e-05,0,463.959,0,0,0.535057,166.754,0.00636779,1.98391,0,0.00334538,14.1431,0,359.605,0.132337,0.132337,0,0,0,0,0,
505.078,1.60159e-05,0,464.028,0,0,0.566027,263.465,0.00673932,3.13539,0,0.00382698,15.9889,0,345.138,0.139123,0.139123,0,0,0,0,0,
600,1.90259e-05,0,464.066,0,0,0.581408,318.653,0.00692411,3.79264,0,0.00406585,17.8348,0,339.726,0.142148,0.142148,0,0,0,0,0,
