time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.825,0,0,0.369765,3.69765,0.0043969,0.043969,0,0.000810739,1.52227,0,482.641,0.10917,0.10917,0,0,0,0,0,
25,7.92745e-07,0,463.83,0,0,0.390044,9.5483,0.00463819,0.113542,0,0.00111065,3.20343,0,469.353,0.112567,0.112567,0,0,0,0,0,
47.5,1.50622e-06,0,463.839,0,0,0.413345,18.8486,0.00491553,0.224141,0,0.00145989,4.90348,0,452.573,0.116292,0.116292,0,0,0,0,0,
60,1.90259e-06,0,463.843,0,0,0.424777,24.1583,0.00505164,0.287287,0,0.00163273,6.58361,0,444.139,0.118202,0.118202,0,0,0,0,0,
93.75,2.97279e-06,0,463.856,0,0,0.449287,39.3217,0.00534355,0.467632,0,0.00200899,8.29792,0,425.771,0.121918,0.121918,0,0,0,0,0,
144.375,4.5781e-06,0,463.877,0,0,0.478027,63.5218,0.00568612,0.755491,0,0.00245592,10.0765,0,405.214,0.126355,0.126355,0,0,0,0,0,
220.312,6.98606e-06,0,463.909,0,0,0.511114,102.335,0.00608091,1.21726,0,0.00297453,11.8568,0,384.207,0.131453,0.131453,0,0,0,0,0,
334.219,1.0598e-05,0,463.957,0,0,0.548409,164.802,0.00652663,1.96068,0,0.00356051,13.5998,0,364.974,0.137065,0.137065,0,0,0,0,0,
505.078,1.60159e-05,0,464.03,0,0,0.589552,265.532,0.00701951,3.16003,0,0.00420545,15.4111,0,349.534,0.142799,0.142799,0,0,0,0,0,
600,1.90259e-05,0,464.07,0,0,0.609137,323.353,0.00725453,3.84865,0,0.00451165,17.1794,0,343.61,0.145391,0.145391,0,0,0,0,0,
856.289,2.71527e-05,0,464.172,0,0,0.648631,489.59,0.00772989,5.82973,0,0.00512523,18.9679,0,336.221,0.149709,0.149709,0,0,0,0,0,
1240.72,3.93431e-05,0,464.307,0,0,0.691744,755.519,0.00825075,9.0016,0,0.00578979,20.8329,0,332.289,0.153329,0.153329,0,0,0,0,0,
1800,5.70776e-05,0,464.465,0,0,0.736872,1167.64,0.00879781,13.922,0,0.00648101,22.7276,0,331.04,0.155891,0.155891,0,0,0,0,0,
2638.92,8.36795e-05,0,464.628,0,0,0.785124,1826.29,0.00938358,21.7941,0,0.00721961,24.5638,0,331.195,0.157485,0.157485,0,0,0,0,0,
3600,0.000114155,0,464.746,0,0,0.826689,2620.81,0.00988774,31.297,0,0.0078596,26.4915,0,331.644,0.15827,0.15827,0,0,0,0,0,
5041.63,0.000159869,0,464.84,0,0,0.872664,3878.86,0.0104439,46.3531,0,0.00857513,27.9875,0,332.098,0.158798,0.158798,0,0,0,0,0,
7324.2,0.000232249,0,464.911,0,0,0.924404,5988.88,0.011068,71.6167,0,0.00938894,29.4908,0,332.521,0.159285,0.159285,0,0,0,0,0,
10938.3,0.00034685,0,464.965,0,0,0.980614,9532.9,0.0117451,114.064,0,0.0102788,31.0433,0,332.988,0.159851,0.159851,0,0,0,0,0,
16660.6,0.000528303,0,465.013,0,0,1.03961,15481.9,0.0124554,185.338,0,0.0112152,32.6693,0,333.552,0.160535,0.160535,0,0,0,0,0,
25720.9,0.000815603,0,465.056,0,0,1.09829,25432.7,0.013162,304.589,0,0.0121474,34.7565,0,334.199,0.161293,0.161293,0,0,0,0,0,
39311.3,0.00124655,0,465.091,0,0,1.14927,41051.8,0.0137761,491.812,0,0.0129573,36.8049,0,334.818,0.161995,0.161995,0,0,0,0,0,
43200,0.00136986,0,465.1,0,0,1.16147,45568.4,0.0139229,545.954,0,0.013151,38.3521,0,334.972,0.162166,0.162166,0,0,0,0,0,
64718.2,0.0020522,0,465.123,0,0,1.19487,71279.8,0.0143254,854.211,0,0.0136816,39.9889,0,335.405,0.162645,0.162645,0,0,0,0,0,
86400,0.00273973,0,465.134,0,0,1.21164,97550.4,0.0145276,1169.2,0,0.013948,41.5889,0,335.622,0.162889,0.162889,0,0,0,0,0,
120730,0.00382831,0,465.142,0,0,1.22187,139497,0.0146509,1672.15,0,0.0141103,43.2403,0,335.744,0.163044,0.163044,0,0,0,0,0,
175085,0.0055519,0,465.147,0,0,1.22629,206152,0.0147043,2471.41,0,0.0141801,44.8566,0,335.774,0.163121,0.163121,0,0,0,0,0,
261147,0.00828091,0,465.15,0,0,1.22727,311773,0.0147164,3737.93,0,0.0141951,46.4429,0,335.739,0.163156,0.163156,0,0,0,0,0,
