time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,-nan,-nan,0,0,-0.0438273,-0.438273,-0.000566809,-0.00566809,0,-nan,1.5707,0,492.517,0.0165846,0.0165846,0,0,0,0,0,
25,7.92745e-07,-nan,-nan,0,0,-0.0369351,-0.992299,-0.000477674,-0.0128332,0,-nan,3.41088,0,492.517,0.0357686,0.0357686,0,0,0,0,0,
47.5,1.50622e-06,-nan,-nan,0,0,-0.0228478,-1.50637,-0.000295485,-0.0194816,0,-nan,5.22339,0,492.517,0.0561335,0.0561335,0,0,0,0,0,
60,1.90259e-06,-nan,-nan,0,0,-0.0143113,-1.68527,-0.000185086,-0.0217952,0,-nan,6.92071,0,492.517,0.0654693,0.0654693,0,0,0,0,0,
93.75,2.97279e-06,-nan,-nan,0,0,0.00941124,-1.36764,0.000121714,-0.0176874,0,-nan,8.67682,0,492.517,0.0820759,0.0820759,0,0,0,0,0,
144.375,4.5781e-06,-nan,-nan,0,0,0.0412103,0.718638,0.000532965,0.00929397,0,-nan,10.4714,0,492.517,0.0972204,0.0972204,0,0,0,0,0,
220.312,6.98606e-06,-nan,-nan,0,0,0.0781415,6.65251,0.00101059,0.0860355,0,-nan,12.2744,0,492.516,0.110146,0.110146,0,0,0,0,0,
334.219,1.0598e-05,-nan,-nan,0,0,0.115359,19.7926,0.00149191,0.255974,0,-nan,14.1431,0,492.516,0.120649,0.120649,0,0,0,0,0,
505.078,1.60159e-05,-nan,-nan,0,0,0.147669,45.0232,0.00190977,0.582276,0,-nan,15.9889,0,492.514,0.128908,0.128908,0,0,0,0,0,
600,1.90259e-05,-nan,-nan,0,0,0.160517,60.2599,0.00207594,0.779328,0,-nan,17.8348,0,492.514,0.132185,0.132185,0,0,0,0,0,
856.289,2.71527e-05,-nan,-nan,0,0,0.177269,105.692,0.00229258,1.36689,0,-nan,19.6904,0,492.512,0.13721,0.13721,0,0,0,0,0,
1240.72,3.93431e-05,-nan,-nan,0,0,0.186258,177.296,0.00240884,2.29293,0,-nan,21.5743,0,492.509,0.141508,0.141508,0,0,0,0,0,
1800,5.70776e-05,-nan,-nan,0,0,0.188525,282.733,0.00243815,3.65653,0,-nan,23.5424,0,492.505,0.145038,0.145038,0,0,0,0,0,
2638.92,8.36795e-05,-nan,-nan,0,0,0.187125,439.716,0.00242005,5.68675,0,-nan,26.0375,0,492.5,0.147823,0.147823,0,0,0,0,0,
3600,0.000114155,-nan,-nan,0,0,0.185696,618.185,0.00240157,7.99486,0,-nan,28.0032,0,492.493,0.149544,0.149544,0,0,0,0,0,
5041.63,0.000159869,-nan,-nan,0,0,0.186131,886.517,0.00240719,11.4651,0,-nan,29.9695,0,492.483,0.150867,0.150867,0,0,0,0,0,
7204.06,0.000228439,-nan,-nan,0,0,0.189955,1297.28,0.00245665,16.7775,0,-nan,31.972,0,492.468,0.15196,0.15196,0,0,0,0,0,
10447.7,0.000331295,-nan,-nan,0,0,0.197055,1936.46,0.00254846,25.0438,0,-nan,33.9785,0,492.446,0.153036,0.153036,0,0,0,0,0,
