time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,-nan,-nan,0,0,-0.0438273,-0.438273,-0.000566809,-0.00566809,0,-nan,1.52227,0,492.517,0.0173036,0.0173036,0,0,0,0,0,
25,7.92745e-07,-nan,-nan,0,0,-0.0369351,-0.992299,-0.000477674,-0.0128332,0,-nan,3.20343,0,492.517,0.037395,0.037395,0,0,0,0,0,
47.5,1.50622e-06,-nan,-nan,0,0,-0.0228478,-1.50637,-0.000295486,-0.0194816,0,-nan,4.90348,0,492.517,0.0587818,0.0587818,0,0,0,0,0,
60,1.90259e-06,-nan,-nan,0,0,-0.0143114,-1.68527,-0.000185086,-0.0217952,0,-nan,6.58361,0,492.517,0.0685892,0.0685892,0,0,0,0,0,
93.75,2.97279e-06,-nan,-nan,0,0,0.0094107,-1.36766,0.000121707,-0.0176876,0,-nan,8.29792,0,492.517,0.0859957,0.0859957,0,0,0,0,0,
144.375,4.5781e-06,-nan,-nan,0,0,0.0412047,0.718334,0.000532892,0.00929004,0,-nan,10.0765,0,492.517,0.101719,0.101719,0,0,0,0,0,
220.312,6.98606e-06,-nan,-nan,0,0,0.0781002,6.64907,0.00101005,0.085991,0,-nan,11.8568,0,492.516,0.114889,0.114889,0,0,0,0,0,
334.219,1.0598e-05,-nan,-nan,0,0,0.115145,19.7648,0.00148914,0.255614,0,-nan,13.5998,0,492.516,0.125313,0.125313,0,0,0,0,0,
505.078,1.60159e-05,-nan,-nan,0,0,0.146869,44.8587,0.00189942,0.580148,0,-nan,15.4111,0,492.514,0.133262,0.133262,0,0,0,0,0,
600,1.90259e-05,-nan,-nan,0,0,0.159294,59.9791,0.00206011,0.775697,0,-nan,17.1794,0,492.514,0.136361,0.136361,0,0,0,0,0,
856.289,2.71527e-05,-nan,-nan,0,0,0.174488,104.698,0.00225661,1.35404,0,-nan,18.9679,0,492.512,0.140965,0.140965,0,0,0,0,0,
1240.72,3.93431e-05,-nan,-nan,0,0,0.181037,174.295,0.00234131,2.25412,0,-nan,20.8329,0,492.509,0.1448,0.1448,0,0,0,0,0,
1800,5.70776e-05,-nan,-nan,0,0,0.180478,275.232,0.00233408,3.55952,0,-nan,22.7276,0,492.506,0.147904,0.147904,0,0,0,0,0,
