time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.828,0,0,0.601074,6.01074,0.00714752,0.0714752,0,0.00453312,1.64653,0,481.433,0.098743,0.098743,0,0,0,0,0,
25,7.92745e-07,0,463.836,0,0,0.63739,15.5716,0.00757976,0.185172,0,0.00509182,3.53062,0,466.591,0.101829,0.101829,0,0,0,0,0,
47.5,1.50622e-06,0,463.85,0,0,0.669633,30.6383,0.00796387,0.364359,0,0.00558534,5.43951,0,448.022,0.10557,0.10557,0,0,0,0,0,
60,1.90259e-06,0,463.857,0,0,0.683508,39.1822,0.00812928,0.465975,0,0.00579757,7.30728,0,438.758,0.1076,0.1076,0,0,0,0,0,
93.75,2.97279e-06,0,463.878,0,0,0.707625,63.0645,0.00841721,0.750056,0,0.00616712,9.19438,0,418.958,0.111813,0.111813,0,0,0,0,0,
144.375,4.5781e-06,0,463.909,0,0,0.730447,100.043,0.00869041,1.19001,0,0.00651753,11.2301,0,397.425,0.117168,0.117168,0,0,0,0,0,
220.312,6.98606e-06,0,463.956,0,0,0.751489,157.11,0.00894338,1.86915,0,0.00683974,13.1545,0,376.245,0.123564,0.123564,0,0,0,0,0,
334.219,1.0598e-05,0,464.023,0,0,0.770452,244.869,0.00917298,2.91401,0,0.00712658,15.0573,0,357.728,0.130654,0.130654,0,0,0,0,0,
505.078,1.60159e-05,0,464.118,0,0,0.787462,379.414,0.00938116,4.51686,0,0.00737746,16.9681,0,343.632,0.137768,0.137768,0,0,0,0,0,
600,1.90259e-05,0,464.169,0,0,0.794795,454.858,0.00947156,5.41592,0,0.00748362,18.9483,0,338.402,0.14092,0.14092,0,0,0,0,0,
856.289,2.71527e-05,0,464.291,0,0,0.807893,661.912,0.00963511,7.8853,0,0.00766655,21.0078,0,332.316,0.146055,0.146055,0,0,0,0,0,
1240.72,3.93431e-05,0,464.445,0,0,0.821242,977.625,0.00980387,11.6542,0,0.00784654,23.049,0,329.455,0.150261,0.150261,0,0,0,0,0,
1800,5.70776e-05,0,464.619,0,0,0.835222,1444.75,0.00998177,17.2368,0,0.00803203,25.1181,0,328.911,0.153247,0.153247,0,0,0,0,0,
2638.92,8.36795e-05,0,464.8,0,0,0.851458,2159.05,0.0101875,25.7833,0,0.00825178,27.1724,0,329.488,0.155211,0.155211,0,0,0,0,0,
3600,0.000114155,0,464.937,0,0,0.86737,2992.66,0.0103868,35.7659,0,0.00847607,29.4104,0,330.173,0.156293,0.156293,0,0,0,0,0,
5041.63,0.000159869,0,465.053,0,0,0.888488,4273.53,0.0106475,51.1156,0,0.00878832,31.6692,0,330.831,0.157121,0.157121,0,0,0,0,0,
7204.06,0.000228439,0,465.141,0,0,0.916804,6256.06,0.010993,74.8873,0,0.00922258,33.925,0,331.422,0.15786,0.15786,0,0,0,0,0,
10447.7,0.000331295,0,465.21,0,0,0.9541,9350.84,0.0114452,112.012,0,0.00980552,36.2114,0,332.021,0.15863,0.15863,0,0,0,0,0,
15313.2,0.000485579,0,465.277,0,0,1.00079,14220.2,0.0120103,170.448,0,0.01054,38.4812,0,332.697,0.159494,0.159494,0,0,0,0,0,
22611.4,0.000717004,0,465.35,0,0,1.05444,21915.8,0.01266,262.843,0,0.0113844,40.6873,0,333.464,0.160437,0.160437,0,0,0,0,0,
33558.8,0.00106414,0,465.425,0,0,1.1091,34057.5,0.0133225,408.689,0,0.0122439,42.9597,0,334.256,0.161367,0.161367,0,0,0,0,0,
43200,0.00136986,0,465.472,0,0,1.14298,45077.1,0.0137335,541.097,0,0.0127762,44.6744,0,334.756,0.161932,0.161932,0,0,0,0,0,
60533.3,0.0019195,0,465.522,0,0,1.17763,65489.3,0.0141543,786.437,0,0.0133202,46.4035,0,335.268,0.162499,0.162499,0,0,0,0,0,
86400,0.00273973,0,465.558,0,0,1.20195,96579.8,0.0144499,1160.21,0,0.0137017,48.2828,0,335.623,0.162893,0.162893,0,0,0,0,0,
127356,0.00403842,0,465.58,0,0,1.21578,146373,0.0146182,1758.91,0,0.0139179,50.1388,0,335.81,0.16312,0.16312,0,0,0,0,0,
192202,0.00609469,0,465.593,0,0,1.22129,225569,0.0146857,2711.22,0,0.0140034,51.8849,0,335.858,0.163223,0.163223,0,0,0,0,0,
294875,0.00935044,0,465.602,0,0,1.22236,351073,0.0146994,4220.46,0,0.0140184,53.6423,0,335.818,0.163266,0.163266,0,0,0,0,0,
457442,0.0145054,0,465.613,0,0,1.22162,549667,0.0146914,6608.79,0,0.014004,55.4101,0,335.717,0.163297,0.163297,0,0,0,0,0,
714838,0.0226674,0,465.63,0,0,1.21993,863672,0.0146727,10385.5,0,0.0139732,57.1272,0,335.55,0.163338,0.163338,0,0,0,0,0,
864000,0.0273973,0,465.639,0,0,1.21893,1.04549e+06,0.0146616,12572.4,0,0.0139552,58.8869,0,335.454,0.163361,0.163361,0,0,0,0,0,
1.27154e+06,0.0403204,0,465.664,0,0,1.21624,1.54116e+06,0.0146315,18535.4,0,0.0139063,60.6372,0,335.194,0.163423,0.163423,0,0,0,0,0,
1.91682e+06,0.0607821,0,465.703,0,0,1.21206,2.32328e+06,0.0145848,27946.6,0,0.0138305,62.4328,0,334.79,0.163519,0.163519,0,0,0,0,0,
2.592e+06,0.0821918,0,465.743,0,0,1.20778,3.13874e+06,0.0145369,37761.6,0,0.013753,64.2115,0,334.375,0.163617,0.163617,0,0,0,0,0,
3.66103e+06,0.11609,0,465.804,0,0,1.20123,4.42289e+06,0.0144636,53223.6,0,0.0136346,66.4859,0,333.739,0.163767,0.163767,0,0,0,0,0,
5.26457e+06,0.166939,0,465.889,0,0,1.19187,6.3341e+06,0.0143585,76248.1,0,0.0134656,68.8021,0,332.827,0.163982,0.163982,0,0,0,0,0,
7.66989e+06,0.243211,0,466.006,0,0,1.17878,9.16943e+06,0.0142113,110431,0,0.0132298,71.2272,0,331.55,0.164281,0.164281,0,0,0,0,0,
7.776e+06,0.246575,0,466.011,0,0,1.1782,9.29445e+06,0.0142049,111938,0,0.0132195,73.0121,0,331.493,0.164295,0.164295,0,0,0,0,0,
1.15844e+07,0.367339,0,466.177,0,0,1.15952,1.37104e+07,0.0139941,165234,0,0.0128837,75.2833,0,329.678,0.164721,0.164721,0,0,0,0,0,
1.5552e+07,0.493151,0,466.331,0,0,1.14188,1.82409e+07,0.0137945,219964,0,0.0125672,77.5826,0,327.972,0.165123,0.165123,0,0,0,0,0,
2.15034e+07,0.681868,0,466.533,0,0,1.11869,2.48986e+07,0.0135316,300496,0,0.012152,79.8916,0,325.778,0.16565,0.16565,0,0,0,0,0,
3.04304e+07,0.964943,0,466.791,0,0,1.08943,3.46241e+07,0.0131989,418323,0,0.0116279,82.2445,0,323.115,0.166315,0.166315,0,0,0,0,0,
3.1104e+07,0.986301,0,466.81,0,0,1.08725,3.53564e+07,0.013174,427197,0,0.0115888,83.9916,0,322.914,0.166365,0.166365,0,0,0,0,0,
4.1104e+07,1.3034,0,467.057,0,0,1.05992,4.59556e+07,0.0128626,555823,0,0.0110987,86.2699,0,320.557,0.166985,0.166985,0,0,0,0,0,
5.1104e+07,1.6205,0,467.276,0,0,1.03641,5.63196e+07,0.0125945,681768,0,0.0106762,88.5605,0,318.64,0.167519,0.167519,0,0,0,0,0,
6.1104e+07,1.9376,0,467.475,0,0,1.01589,6.64786e+07,0.0123605,805373,0,0.0103066,90.8127,0,317.063,0.167986,0.167986,0,0,0,0,0,
6.2208e+07,1.9726,0,467.497,0,0,1.01366,6.75977e+07,0.012335,818991,0,0.0102663,92.5765,0,316.891,0.168037,0.168037,0,0,0,0,0,
7.2208e+07,2.2897,0,467.677,0,0,0.995813,7.75558e+07,0.0121314,940306,0,0.00994339,94.8831,0,315.612,0.168444,0.168444,0,0,0,0,0,
