time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,-nan,-nan,0,0,-0.0438273,-0.438273,-0.000566809,-0.00566809,0,-nan,1.64653,0,492.517,0.0162494,0.0162494,0,0,0,0,0,
25,7.92745e-07,-nan,-nan,0,0,-0.0369351,-0.992299,-0.000477674,-0.0128332,0,-nan,3.53062,0,492.517,0.0350389,0.0350389,0,0,0,0,0,
47.5,1.50622e-06,-nan,-nan,0,0,-0.0228478,-1.50637,-0.000295485,-0.0194816,0,-nan,5.43951,0,492.517,0.0549953,0.0549953,0,0,0,0,0,
60,1.90259e-06,-nan,-nan,0,0,-0.0143113,-1.68527,-0.000185086,-0.0217952,0,-nan,7.30728,0,492.517,0.0641515,0.0641515,0,0,0,0,0,
93.75,2.97279e-06,-nan,-nan,0,0,0.00941138,-1.36763,0.000121715,-0.0176873,0,-nan,9.19438,0,492.517,0.0804875,0.0804875,0,0,0,0,0,
144.375,4.5781e-06,-nan,-nan,0,0,0.0412124,0.718748,0.000532992,0.0092954,0,-nan,11.2301,0,492.517,0.0954703,0.0954703,0,0,0,0,0,
220.312,6.98606e-06,-nan,-nan,0,0,0.0781613,6.65413,0.00101084,0.0860564,0,-nan,13.1545,0,492.516,0.108362,0.108362,0,0,0,0,0,
334.219,1.0598e-05,-nan,-nan,0,0,0.115484,19.8084,0.00149353,0.256178,0,-nan,15.0573,0,492.516,0.118927,0.118927,0,0,0,0,0,
505.078,1.60159e-05,-nan,-nan,0,0,0.14821,45.1316,0.00191677,0.583677,0,-nan,16.9681,0,492.514,0.127297,0.127297,0,0,0,0,0,
600,1.90259e-05,-nan,-nan,0,0,0.161376,60.4497,0.00208705,0.781783,0,-nan,18.9483,0,492.514,0.130631,0.130631,0,0,0,0,0,
856.289,2.71527e-05,-nan,-nan,0,0,0.179454,106.442,0.00232084,1.37659,0,-nan,21.0078,0,492.512,0.135773,0.135773,0,0,0,0,0,
1240.72,3.93431e-05,-nan,-nan,0,0,0.190782,179.785,0.00246734,2.32512,0,-nan,23.049,0,492.509,0.140197,0.140197,0,0,0,0,0,
1800,5.70776e-05,-nan,-nan,0,0,0.195961,289.381,0.00253432,3.7425,0,-nan,25.1181,0,492.505,0.143862,0.143862,0,0,0,0,0,
2638.92,8.36795e-05,-nan,-nan,0,0,0.196832,454.506,0.00254558,5.87803,0,-nan,27.1724,0,492.499,0.146822,0.146822,0,0,0,0,0,
3600,0.000114155,-nan,-nan,0,0,0.195652,642.545,0.00253033,8.30989,0,-nan,29.4104,0,492.493,0.148732,0.148732,0,0,0,0,0,
5041.63,0.000159869,-nan,-nan,0,0,0.193634,921.692,0.00250423,11.92,0,-nan,31.6692,0,492.483,0.150299,0.150299,0,0,0,0,0,
7204.06,0.000228439,-nan,-nan,0,0,0.192263,1337.45,0.0024865,17.2969,0,-nan,33.925,0,492.468,0.151659,0.151659,0,0,0,0,0,
10447.7,0.000331295,-nan,-nan,0,0,0.193272,1964.36,0.00249955,25.4047,0,-nan,36.2114,0,492.446,0.152985,0.152985,0,0,0,0,0,
15313.2,0.000485579,-nan,-nan,0,0,0.197548,2925.53,0.00255485,37.8352,0,-nan,38.4812,0,492.412,0.154403,0.154403,0,0,0,0,0,
22611.4,0.000717004,-nan,-nan,0,0,0.203981,4414.23,0.00263805,57.0883,0,-nan,40.6873,0,492.362,0.155916,0.155916,0,0,0,0,0,
33558.8,0.00106414,-nan,-nan,0,0,0.209932,6712.42,0.002715,86.8104,0,-nan,42.9597,0,492.288,0.157402,0.157402,0,0,0,0,0,
43200,0.00136986,-nan,-nan,0,0,0.212747,8763.56,0.00275141,113.337,0,-nan,44.6744,0,492.222,0.158297,0.158297,0,0,0,0,0,
60533.3,0.0019195,-nan,-nan,0,0,0.214198,12476.3,0.00277016,161.353,0,-nan,46.4035,0,492.104,0.159187,0.159187,0,0,0,0,0,
86400,0.00273973,-nan,-nan,0,0,0.214202,18017,0.00277022,233.01,0,-nan,48.2828,0,491.93,0.159804,0.159804,0,0,0,0,0,
127356,0.00403842,-nan,-nan,0,0,0.213717,26769.9,0.00276394,346.209,0,-nan,50.1388,0,491.653,0.160159,0.160159,0,0,0,0,0,
192202,0.00609469,-nan,-nan,0,0,0.213366,40605.9,0.0027594,525.146,0,-nan,51.8849,0,491.218,0.160319,0.160319,0,0,0,0,0,
294875,0.00935044,-nan,-nan,0,0,0.213234,62499.4,0.0027577,808.288,0,-nan,53.6423,0,490.531,0.160388,0.160388,0,0,0,0,0,
457442,0.0145054,-nan,-nan,0,0,0.213204,97159.2,0.00275731,1256.53,0,-nan,55.4101,0,489.451,0.160438,0.160438,0,0,0,0,0,
714838,0.0226674,-nan,-nan,0,0,0.2132,152036,0.00275726,1966.24,0,-nan,57.1272,0,487.76,0.160514,0.160514,0,0,0,0,0,
864000,0.0273973,-nan,-nan,0,0,0.2132,183837,0.00275726,2377.52,0,-nan,58.8869,0,486.787,0.160558,0.160558,0,0,0,0,0,
1.27154e+06,0.0403204,-nan,-nan,0,0,0.2132,270726,0.00275726,3501.22,0,-nan,60.6372,0,484.175,0.160672,0.160672,0,0,0,0,0,
1.91682e+06,0.0607821,-nan,-nan,0,0,0.2132,408299,0.00275726,5280.43,0,-nan,62.4328,0,480.153,0.160858,0.160858,0,0,0,0,0,
2.592e+06,0.0821918,-nan,-nan,0,0,0.2132,552246,0.00275727,7142.07,0,-nan,64.2115,0,476.065,0.161058,0.161058,0,0,0,0,0,
3.66103e+06,0.11609,-nan,-nan,0,0,0.2132,780163,0.00275728,10089.7,0,-nan,66.4859,0,469.882,0.161376,0.161376,0,0,0,0,0,
5.26457e+06,0.166939,-nan,-nan,0,0,0.2132,1.12204e+06,0.0027573,14511.1,0,-nan,68.8021,0,461.212,0.161864,0.161864,0,0,0,0,0,
7.66989e+06,0.243211,-nan,-nan,0,0,0.2132,1.63485e+06,0.00275733,21143.4,0,-nan,71.2272,0,449.428,0.162609,0.162609,0,0,0,0,0,
7.776e+06,0.246575,-nan,-nan,0,0,0.2132,1.65747e+06,0.00275733,21436,0,-nan,73.0121,0,448.91,0.162659,0.162659,0,0,0,0,0,
1.15844e+07,0.367339,-nan,-nan,0,0,0.2132,2.46943e+06,0.00275738,31937.2,0,-nan,75.2833,0,432.926,0.163825,0.163825,0,0,0,0,0,
1.5552e+07,0.493151,-nan,-nan,0,0,0.213201,3.31532e+06,0.00275744,42877.6,0,-nan,77.5826,0,418.649,0.165057,0.165057,0,0,0,0,0,
2.15034e+07,0.681868,-nan,-nan,0,0,0.213203,4.58417e+06,0.00275753,59288.7,0,-nan,79.8916,0,401.434,0.166788,0.166788,0,0,0,0,0,
3.04304e+07,0.964943,-nan,-nan,0,0,0.213206,6.48748e+06,0.00275768,83906.7,0,-nan,82.2445,0,382.365,0.169063,0.169063,0,0,0,0,0,
3.1104e+07,0.986301,-nan,-nan,0,0,0.213207,6.63109e+06,0.00275769,85764.2,0,-nan,83.9916,0,380.964,0.169254,0.169254,0,0,0,0,0,
4.1104e+07,1.3034,-nan,-nan,0,0,0.213211,8.76319e+06,0.00275787,113343,0,-nan,86.2699,0,365.875,0.171358,0.171358,0,0,0,0,0,
5.1104e+07,1.6205,-nan,-nan,0,0,0.213215,1.08953e+07,0.00275806,140924,0,-nan,88.5605,0,354.794,0.173101,0.173101,0,0,0,0,0,
6.1104e+07,1.9376,-nan,-nan,0,0,0.21322,1.30275e+07,0.00275824,168506,0,-nan,90.8127,0,346.546,0.174526,0.174526,0,0,0,0,0,
6.2208e+07,1.9726,-nan,-nan,0,0,0.21322,1.32629e+07,0.00275826,171551,0,-nan,92.5765,0,345.669,0.174684,0.174684,0,0,0,0,0,
7.2208e+07,2.2897,-nan,-nan,0,0,0.213225,1.53952e+07,0.00275845,199136,0,-nan,94.8831,0,339.65,0.175725,0.175725,0,0,0,0,0,
8.2208e+07,2.6068,-nan,-nan,0,0,0.21323,1.75275e+07,0.00275864,226722,0,-nan,97.137,0,335.024,0.176611,0.176611,0,0,0,0,0,
