time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,0,463.827,0,0,0.537589,5.37589,0.00639258,0.0639258,0,0.00351148,1.50456,0,484.517,0.125101,0.125101,0,0,0,0,0,
25,7.92745e-07,0,463.835,0,0,0.56524,13.8545,0.0067217,0.164751,0,0.00393056,3.19822,0,473.855,0.129831,0.129831,0,0,0,0,0,
47.5,1.50622e-06,0,463.847,0,0,0.596093,27.2666,0.00708913,0.324257,0,0.00440162,4.91798,0,460.441,0.134444,0.134444,0,0,0,0,0,
60,1.90259e-06,0,463.853,0,0,0.610998,34.9041,0.0072667,0.415091,0,0.0046304,6.2653,0,453.678,0.136608,0.136608,0,0,0,0,0,
95.625,3.03225e-06,0,463.873,0,0,0.643469,57.8277,0.00765385,0.687759,0,0.00513386,8.02118,0,438.036,0.140631,0.140631,0,0,0,0,0,
149.062,4.72674e-06,0,463.904,0,0,0.680006,94.1654,0.00809001,1.12007,0,0.00570494,9.77451,0,420.098,0.144717,0.144717,0,0,0,0,0,
229.219,7.26848e-06,0,463.951,0,0,0.71997,151.876,0.00856801,1.80685,0,0.00633184,11.5565,0,400.88,0.148719,0.148719,0,0,0,0,0,
349.453,1.10811e-05,0,464.021,0,0,0.762133,243.51,0.00907383,2.89783,0,0.00699194,13.3601,0,381.968,0.152571,0.152571,0,0,0,0,0,
529.805,1.68e-05,0,464.124,0,0,0.805009,388.695,0.00959054,4.6275,0,0.00765807,15.1897,0,365.249,0.156195,0.156195,0,0,0,0,0,
600,1.90259e-05,0,464.163,0,0,0.81937,446.211,0.00976404,5.31289,0,0.00788016,16.6008,0,360.069,0.157407,0.157407,0,0,0,0,0,
885.557,2.80808e-05,0,464.307,0,0,0.858509,691.364,0.0102398,8.23693,0,0.0084774,18.4264,0,349.324,0.1603,0.1603,0,0,0,0,0,
1313.89,4.16632e-05,0,464.484,0,0,0.896693,1075.45,0.0107073,12.8232,0,0.00905082,20.2938,0,342.655,0.16275,0.16275,0,0,0,0,0,
1800,5.70776e-05,0,464.64,0,0,0.926426,1525.79,0.0110732,18.206,0,0.00949222,22.154,0,339.844,0.164289,0.164289,0,0,0,0,0,
2529.16,8.01992e-05,0,464.793,0,0,0.95593,2222.82,0.011437,26.5454,0,0.00992888,24.0191,0,338.879,0.165365,0.165365,0,0,0,0,0,
3600,0.000114155,0,464.917,0,0,0.983495,3275.98,0.011776,39.1556,0,0.0103404,25.9333,0,338.884,0.165956,0.165956,0,0,0,0,0,
