time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,-nan,-nan,0,0,-0.0438273,-0.438273,-0.000566809,-0.00566809,0,-nan,1.65525,0,492.517,0.0181614,0.0181614,0,0,0,0,0,
25,7.92745e-07,-nan,-nan,0,0,-0.0369351,-0.992299,-0.000477674,-0.0128332,0,-nan,3.53647,0,492.517,0.0394721,0.0394721,0,0,0,0,0,
47.5,1.50622e-06,-nan,-nan,0,0,-0.0228478,-1.50637,-0.000295486,-0.0194816,0,-nan,5.42243,0,492.517,0.0624155,0.0624155,0,0,0,0,0,
60,1.90259e-06,-nan,-nan,0,0,-0.0143114,-1.68527,-0.000185086,-0.0217952,0,-nan,6.85184,0,492.517,0.0729928,0.0729928,0,0,0,0,0,
95.625,3.03225e-06,-nan,-nan,0,0,0.0106436,-1.30609,0.000137651,-0.0168914,0,-nan,8.68023,0,492.517,0.0926315,0.0926315,0,0,0,0,0,
149.062,4.72674e-06,-nan,-nan,0,0,0.0437156,1.02996,0.000565364,0.0133203,0,-nan,10.5336,0,492.517,0.110102,0.110102,0,0,0,0,0,
229.219,7.26848e-06,-nan,-nan,0,0,0.0815018,7.56284,0.00105404,0.0978086,0,-nan,12.3729,0,492.516,0.124377,0.124377,0,0,0,0,0,
349.453,1.10811e-05,-nan,-nan,0,0,0.118773,21.8434,0.00153607,0.282496,0,-nan,14.2903,0,492.516,0.135289,0.135289,0,0,0,0,0,
529.805,1.68e-05,-nan,-nan,0,0,0.150103,48.9147,0.00194125,0.632604,0,-nan,16.1921,0,492.514,0.143267,0.143267,0,0,0,0,0,
600,1.90259e-05,-nan,-nan,0,0,0.159455,60.1077,0.0020622,0.77736,0,-nan,18.0944,0,492.514,0.145599,0.145599,0,0,0,0,0,
870.527,2.76042e-05,-nan,-nan,0,0,0.175723,107.645,0.00227258,1.39216,0,-nan,20.0455,0,492.512,0.150227,0.150227,0,0,0,0,0,
1276.32,4.04718e-05,-nan,-nan,0,0,0.183205,181.989,0.00236936,2.35362,0,-nan,22.0187,0,492.509,0.153925,0.153925,0,0,0,0,0,
1800,5.70776e-05,-nan,-nan,0,0,0.183984,278.337,0.00237943,3.59968,0,-nan,24.0202,0,492.506,0.156761,0.156761,0,0,0,0,0,
2585.52,8.19864e-05,-nan,-nan,0,0,0.181478,420.893,0.00234703,5.44332,0,-nan,26.0556,0,492.501,0.159326,0.159326,0,0,0,0,0,
3600,0.000114155,-nan,-nan,0,0,0.178868,602.35,0.00231327,7.79008,0,-nan,28.133,0,492.494,0.161327,0.161327,0,0,0,0,0,
5121.72,0.000162409,-nan,-nan,0,0,0.177896,873.057,0.0023007,11.2911,0,-nan,30.2286,0,492.484,0.162965,0.162965,0,0,0,0,0,
7404.29,0.000234789,-nan,-nan,0,0,0.180049,1284.03,0.00232855,16.6062,0,-nan,31.9132,0,492.468,0.16419,0.16419,0,0,0,0,0,
11018.4,0.00034939,-nan,-nan,0,0,0.186081,1956.54,0.00240656,25.3037,0,-nan,33.5934,0,492.444,0.165117,0.165117,0,0,0,0,0,
16740.7,0.000530843,-nan,-nan,0,0,0.194953,3072.12,0.00252131,39.7314,0,-nan,35.3096,0,492.406,0.165852,0.165852,0,0,0,0,0,
25800.9,0.000818143,-nan,-nan,0,0,0.20383,4918.88,0.00263612,63.6154,0,-nan,37.0259,0,492.346,0.166464,0.166464,0,0,0,0,0,
40146.4,0.00127303,-nan,-nan,0,0,0.20993,7930.42,0.00271501,102.563,0,-nan,38.8755,0,492.251,0.166972,0.166972,0,0,0,0,0,
43200,0.00136986,-nan,-nan,0,0,0.210927,8574.51,0.0027279,110.893,0,-nan,40.5586,0,492.23,0.167062,0.167062,0,0,0,0,0,
65913.6,0.00209011,-nan,-nan,0,0,0.212876,13409.7,0.00275311,173.427,0,-nan,42.3482,0,492.08,0.167372,0.167372,0,0,0,0,0,
86400,0.00273973,-nan,-nan,0,0,0.213256,17778.5,0.00275802,229.928,0,-nan,44.1808,0,491.945,0.167517,0.167517,0,0,0,0,0,
122363,0.00388011,-nan,-nan,0,0,0.213228,25446.9,0.00275766,329.103,0,-nan,45.9669,0,491.707,0.16762,0.16762,0,0,0,0,0,
179305,0.00568573,-nan,-nan,0,0,0.213133,37583.1,0.00275643,486.059,0,-nan,47.8361,0,491.333,0.167676,0.167676,0,0,0,0,0,
269463,0.00854462,-nan,-nan,0,0,0.213088,56794.6,0.00275584,734.52,0,-nan,49.6261,0,490.742,0.16771,0.16771,0,0,0,0,0,
412213,0.0130712,-nan,-nan,0,0,0.213076,87211.2,0.00275569,1127.89,0,-nan,51.4136,0,489.813,0.167746,0.167746,0,0,0,0,0,
638234,0.0202383,-nan,-nan,0,0,0.213074,135370,0.00275567,1750.73,0,-nan,53.2239,0,488.355,0.167801,0.167801,0,0,0,0,0,
864000,0.0273973,-nan,-nan,0,0,0.213074,183475,0.00275566,2372.87,0,-nan,55.0894,0,486.914,0.16786,0.16786,0,0,0,0,0,
1.22187e+06,0.0387451,-nan,-nan,0,0,0.213073,259727,0.00275567,3359.03,0,-nan,56.937,0,484.664,0.167946,0.167946,0,0,0,0,0,
1.78849e+06,0.0567126,-nan,-nan,0,0,0.213073,380459,0.00275567,4920.45,0,-nan,58.8239,0,481.186,0.168089,0.168089,0,0,0,0,0,
2.592e+06,0.0821918,-nan,-nan,0,0,0.213073,551666,0.00275567,7134.66,0,-nan,60.8058,0,476.421,0.168293,0.168293,0,0,0,0,0,
3.86423e+06,0.122534,-nan,-nan,0,0,0.213073,822743,0.00275568,10640.5,0,-nan,62.5997,0,469.269,0.16862,0.16862,0,0,0,0,0,
5.87859e+06,0.186409,-nan,-nan,0,0,0.213073,1.25195e+06,0.00275569,16191.5,0,-nan,64.4713,0,458.844,0.169148,0.169148,0,0,0,0,0,
7.776e+06,0.246575,-nan,-nan,0,0,0.213072,1.65623e+06,0.0027557,21420.1,0,-nan,66.282,0,449.758,0.169661,0.169661,0,0,0,0,0,
1.09654e+07,0.347711,-nan,-nan,0,0,0.213072,2.33581e+06,0.00275571,30209.2,0,-nan,68.5873,0,436.292,0.170516,0.170516,0,0,0,0,0,
1.5552e+07,0.493151,-nan,-nan,0,0,0.213072,3.31308e+06,0.00275574,42848.7,0,-nan,70.9235,0,420.017,0.171723,0.171723,0,0,0,0,0,
2.24319e+07,0.711311,-nan,-nan,0,0,0.213072,4.779e+06,0.00275579,61808.3,0,-nan,73.2751,0,400.914,0.173414,0.173414,0,0,0,0,0,
3.1104e+07,0.986301,-nan,-nan,0,0,0.213073,6.62679e+06,0.00275586,85707.4,0,-nan,75.6292,0,382.931,0.17531,0.17531,0,0,0,0,0,
4.1104e+07,1.3034,-nan,-nan,0,0,0.213074,8.75752e+06,0.00275594,113267,0,-nan,78.2093,0,367.849,0.177159,0.177159,0,0,0,0,0,
5.1104e+07,1.6205,-nan,-nan,0,0,0.213075,1.08883e+07,0.00275603,140827,0,-nan,80.4989,0,356.742,0.178697,0.178697,0,0,0,0,0,
6.1104e+07,1.9376,-nan,-nan,0,0,0.213076,1.3019e+07,0.00275611,168388,0,-nan,82.7653,0,348.451,0.179966,0.179966,0,0,0,0,0,
6.2208e+07,1.9726,-nan,-nan,0,0,0.213076,1.32543e+07,0.00275612,171431,0,-nan,84.6686,0,347.568,0.180091,0.180091,0,0,0,0,0,
7.2208e+07,2.2897,-nan,-nan,0,0,0.213078,1.5385e+07,0.0027562,198993,0,-nan,86.9539,0,341.5,0.181038,0.181038,0,0,0,0,0,
8.2208e+07,2.6068,-nan,-nan,0,0,0.213079,1.75158e+07,0.00275628,226556,0,-nan,89.3831,0,336.825,0.181861,0.181861,0,0,0,0,0,
9.2208e+07,2.9239,-nan,-nan,0,0,0.213081,1.96466e+07,0.00275636,254119,0,-nan,91.7969,0,333.169,0.182576,0.182576,0,0,0,0,0,
9.3312e+07,2.9589,-nan,-nan,0,0,0.213081,1.98819e+07,0.00275637,257162,0,-nan,93.7488,0,332.778,0.182655,0.182655,0,0,0,0,0,
1.03312e+08,3.276,-nan,-nan,0,0,0.213082,2.20127e+07,0.00275644,284727,0,-nan,96.1051,0,329.952,0.18327,0.18327,0,0,0,0,0,
1.13312e+08,3.5931,-nan,-nan,0,0,0.213083,2.41435e+07,0.00275652,312292,0,-nan,97.9233,0,327.667,0.183816,0.183816,0,0,0,0,0,
1.23312e+08,3.9102,-nan,-nan,0,0,0.213085,2.62744e+07,0.00275659,339858,0,-nan,99.7545,0,325.789,0.184304,0.184304,0,0,0,0,0,
1.24e+08,3.93201,-nan,-nan,0,0,0.213085,2.6421e+07,0.00275659,341754,0,-nan,101.552,0,325.662,0.184338,0.184338,0,0,0,0,0,
1.34e+08,4.24911,-nan,-nan,0,0,0.213086,2.85518e+07,0.00275666,369321,0,-nan,103.387,0,324.118,0.184774,0.184774,0,0,0,0,0,
1.44e+08,4.56621,-nan,-nan,0,0,0.213087,3.06827e+07,0.00275673,396888,0,-nan,105.255,0,322.81,0.185172,0.185172,0,0,0,0,0,
1.54e+08,4.88331,-nan,-nan,0,0,0.213088,3.28136e+07,0.00275679,424456,0,-nan,107.6,0,321.689,0.185538,0.185538,0,0,0,0,0,
1.56e+08,4.94673,-nan,-nan,0,0,0.213088,3.32398e+07,0.0027568,429970,0,-nan,109.494,0,321.472,0.185609,0.185609,0,0,0,0,0,
1.66e+08,5.26383,-nan,-nan,0,0,0.213089,3.53707e+07,0.00275687,457538,0,-nan,111.398,0,320.527,0.185941,0.185941,0,0,0,0,0,
1.76e+08,5.58092,-nan,-nan,0,0,0.213091,3.75016e+07,0.00275693,485108,0,-nan,113.298,0,319.696,0.18625,0.18625,0,0,0,0,0,
1.86e+08,5.89802,-nan,-nan,0,0,0.213092,3.96325e+07,0.00275699,512678,0,-nan,115.137,0,318.958,0.18654,0.18654,0,0,0,0,0,
1.96e+08,6.21512,-nan,-nan,0,0,0.213093,4.17634e+07,0.00275705,540248,0,-nan,117.047,0,318.297,0.186812,0.186812,0,0,0,0,0,
2.06e+08,6.53222,-nan,-nan,0,0,0.213094,4.38944e+07,0.00275711,567819,0,-nan,118.99,0,317.701,0.187069,0.187069,0,0,0,0,0,
2.16e+08,6.84932,-nan,-nan,0,0,0.213095,4.60253e+07,0.00275717,595391,0,-nan,120.925,0,317.159,0.187313,0.187313,0,0,0,0,0,
2.26e+08,7.16641,-nan,-nan,0,0,0.213096,4.81563e+07,0.00275722,622963,0,-nan,122.799,0,316.664,0.187544,0.187544,0,0,0,0,0,
2.36e+08,7.48351,-nan,-nan,0,0,0.213097,5.02872e+07,0.00275728,650536,0,-nan,124.672,0,316.21,0.187763,0.187763,0,0,0,0,0,
2.46e+08,7.80061,-nan,-nan,0,0,0.213098,5.24182e+07,0.00275734,678109,0,-nan,126.473,0,315.79,0.187973,0.187973,0,0,0,0,0,
2.56e+08,8.11771,-nan,-nan,0,0,0.213099,5.45492e+07,0.0027574,705683,0,-nan,128.36,0,315.402,0.188174,0.188174,0,0,0,0,0,
2.66e+08,8.4348,-nan,-nan,0,0,0.213101,5.66802e+07,0.00275746,733258,0,-nan,130.134,0,315.04,0.188366,0.188366,0,0,0,0,0,
2.76e+08,8.7519,-nan,-nan,0,0,0.213102,5.88112e+07,0.00275752,760833,0,-nan,131.967,0,314.702,0.18855,0.18855,0,0,0,0,0,
2.86e+08,9.069,-nan,-nan,0,0,0.213103,6.09423e+07,0.00275758,788409,0,-nan,133.782,0,314.386,0.188727,0.188727,0,0,0,0,0,
2.96e+08,9.3861,-nan,-nan,0,0,0.213104,6.30733e+07,0.00275764,815985,0,-nan,135.651,0,314.09,0.188898,0.188898,0,0,0,0,0,
3.06e+08,9.7032,-nan,-nan,0,0,0.213106,6.52044e+07,0.0027577,843562,0,-nan,137.52,0,313.81,0.189062,0.189062,0,0,0,0,0,
3.11e+08,9.86175,-nan,-nan,0,0,0.213106,6.62699e+07,0.00275773,857351,0,-nan,139.322,0,313.675,0.189142,0.189142,0,0,0,0,0,
3.21e+08,10.1788,-nan,-nan,0,0,0.213108,6.8401e+07,0.00275779,884929,0,-nan,141.248,0,313.419,0.189297,0.189297,0,0,0,0,0,
3.31e+08,10.4959,-nan,-nan,0,0,0.213109,7.05321e+07,0.00275785,912507,0,-nan,143.23,0,313.177,0.189447,0.189447,0,0,0,0,0,
3.41e+08,10.813,-nan,-nan,0,0,0.213111,7.26632e+07,0.00275792,940086,0,-nan,145.122,0,312.948,0.189592,0.189592,0,0,0,0,0,
3.51e+08,11.1301,-nan,-nan,0,0,0.213112,7.47943e+07,0.00275798,967666,0,-nan,147.085,0,312.73,0.189732,0.189732,0,0,0,0,0,
3.61e+08,11.4472,-nan,-nan,0,0,0.213114,7.69254e+07,0.00275805,995247,0,-nan,149.103,0,312.523,0.189867,0.189867,0,0,0,0,0,
3.71e+08,11.7643,-nan,-nan,0,0,0.213115,7.90566e+07,0.00275811,1.02283e+06,0,-nan,150.99,0,312.325,0.189998,0.189998,0,0,0,0,0,
