time(s),time(year),Sn,Temperature(K),FlowCO2(mole/s),MassCO2(mole),FlowH2O(mole/s),MassH2O(mole),HeatProductionRate(MW),Energy(MJ),InjectionCO2(mole),OverPressure(MPa),CPUtime,Sn_inj,T_inj,OPw_inj,OPnw_inj,S_CO2,FlowCO2_inj,MassCO2_inj,FlowH2O_inj,MassH2O_inj
10,3.17098e-07,-nan,-nan,0,0,-0.0438273,-0.438273,-0.000566809,-0.00566809,0,-nan,1.50456,0,492.517,0.0189286,0.0189286,0,0,0,0,0,
25,7.92745e-07,-nan,-nan,0,0,-0.0369351,-0.992299,-0.000477674,-0.0128332,0,-nan,3.19822,0,492.517,0.0411728,0.0411728,0,0,0,0,0,
47.5,1.50622e-06,-nan,-nan,0,0,-0.0228478,-1.50637,-0.000295486,-0.0194816,0,-nan,4.91798,0,492.517,0.065138,0.065138,0,0,0,0,0,
60,1.90259e-06,-nan,-nan,0,0,-0.0143114,-1.68527,-0.000185086,-0.0217952,0,-nan,6.2653,0,492.517,0.0761824,0.0761824,0,0,0,0,0,
95.625,3.03225e-06,-nan,-nan,0,0,0.0106434,-1.30609,0.000137649,-0.0168915,0,-nan,8.02118,0,492.517,0.0966375,0.0966375,0,0,0,0,0,
149.062,4.72674e-06,-nan,-nan,0,0,0.0437131,1.02982,0.000565332,0.0133185,0,-nan,9.77451,0,492.517,0.114692,0.114692,0,0,0,0,0,
229.219,7.26848e-06,-nan,-nan,0,0,0.0814765,7.56067,0.00105372,0.0977805,0,-nan,11.5565,0,492.516,0.129215,0.129215,0,0,0,0,0,
349.453,1.10811e-05,-nan,-nan,0,0,0.118614,21.8221,0.00153401,0.282221,0,-nan,13.3601,0,492.516,0.140056,0.140056,0,0,0,0,0,
529.805,1.68e-05,-nan,-nan,0,0,0.149426,48.7713,0.00193249,0.630749,0,-nan,15.1897,0,492.515,0.147741,0.147741,0,0,0,0,0,
600,1.90259e-05,-nan,-nan,0,0,0.158526,59.8991,0.00205018,0.774662,0,-nan,16.6008,0,492.514,0.149955,0.149955,0,0,0,0,0,
885.557,2.80808e-05,-nan,-nan,0,0,0.173556,109.459,0.00224456,1.41561,0,-nan,18.4264,0,492.512,0.15428,0.15428,0,0,0,0,0,
1313.89,4.16632e-05,-nan,-nan,0,0,0.178081,185.737,0.00230309,2.4021,0,-nan,20.2938,0,492.509,0.157436,0.157436,0,0,0,0,0,
1800,5.70776e-05,-nan,-nan,0,0,0.176037,271.31,0.00227665,3.5088,0,-nan,22.154,0,492.506,0.159441,0.159441,0,0,0,0,0,
2529.16,8.01992e-05,-nan,-nan,0,0,0.171033,396.021,0.00221194,5.12167,0,-nan,24.0191,0,492.501,0.161096,0.161096,0,0,0,0,0,
3600,0.000114155,-nan,-nan,0,0,0.166836,574.676,0.00215766,7.43217,0,-nan,25.9333,0,492.494,0.16233,0.16233,0,0,0,0,0,
5206.26,0.000165089,-nan,-nan,0,0,0.166616,842.304,0.00215482,10.8934,0,-nan,27.5234,0,492.483,0.163122,0.163122,0,0,0,0,0,
7749.49,0.000245735,-nan,-nan,0,0,0.17234,1280.61,0.00222885,16.5619,0,-nan,29.0636,0,492.466,0.163539,0.163539,0,0,0,0,0,
11776.3,0.000373424,-nan,-nan,0,0,0.183279,2018.63,0.00237033,26.1067,0,-nan,30.6507,0,492.439,0.163712,0.163712,0,0,0,0,0,
18152,0.000575598,-nan,-nan,0,0,0.195704,3266.39,0.00253102,42.2438,0,-nan,32.2569,0,492.396,0.163791,0.163791,0,0,0,0,0,
28247,0.000895706,-nan,-nan,0,0,0.205308,5338.97,0.00265524,69.0483,0,-nan,33.8931,0,492.329,0.163866,0.163866,0,0,0,0,0,
43200,0.00136986,-nan,-nan,0,0,0.210262,8483.02,0.0027193,109.71,0,-nan,35.4685,0,492.229,0.163954,0.163954,0,0,0,0,0,
66875.6,0.00212061,-nan,-nan,0,0,0.212059,13503.7,0.00274255,174.641,0,-nan,37.1806,0,492.071,0.164025,0.164025,0,0,0,0,0,
86400,0.00273973,-nan,-nan,0,0,0.212411,17650.9,0.00274709,228.277,0,-nan,38.8109,0,491.94,0.164059,0.164059,0,0,0,0,0,
123886,0.00392841,-nan,-nan,0,0,0.212473,25615.7,0.00274789,331.285,0,-nan,40.4834,0,491.69,0.164089,0.164089,0,0,0,0,0,
183240,0.00581049,-nan,-nan,0,0,0.212461,38226,0.00274774,494.373,0,-nan,42.0931,0,491.296,0.164109,0.164109,0,0,0,0,0,
277216,0.00879046,-nan,-nan,0,0,0.212453,58191.5,0.00274763,752.585,0,-nan,43.7369,0,490.674,0.16413,0.16413,0,0,0,0,0,
426012,0.0135087,-nan,-nan,0,0,0.21245,89803.2,0.00274761,1161.42,0,-nan,45.3769,0,489.695,0.164158,0.164158,0,0,0,0,0,
661605,0.0209793,-nan,-nan,0,0,0.21245,139855,0.0027476,1808.73,0,-nan,47.0941,0,488.161,0.164208,0.164208,0,0,0,0,0,
864000,0.0273973,-nan,-nan,0,0,0.21245,182854,0.0027476,2364.83,0,-nan,48.7674,0,486.855,0.164254,0.164254,0,0,0,0,0,
1.23702e+06,0.0392257,-nan,-nan,0,0,0.212449,262102,0.00274759,3389.75,0,-nan,50.3843,0,484.487,0.164331,0.164331,0,0,0,0,0,
1.82764e+06,0.0579541,-nan,-nan,0,0,0.212448,387578,0.00274759,5012.53,0,-nan,52.0865,0,480.831,0.164461,0.164461,0,0,0,0,0,
2.592e+06,0.0821918,-nan,-nan,0,0,0.212448,549964,0.00274758,7112.66,0,-nan,53.7675,0,476.251,0.164634,0.164634,0,0,0,0,0,
3.80224e+06,0.120568,-nan,-nan,0,0,0.212446,807074,0.00274757,10437.9,0,-nan,55.4883,0,469.36,0.164914,0.164914,0,0,0,0,0,
5.71844e+06,0.181331,-nan,-nan,0,0,0.212445,1.21416e+06,0.00274756,15702.8,0,-nan,57.1841,0,459.28,0.165377,0.165377,0,0,0,0,0,
7.776e+06,0.246575,-nan,-nan,0,0,0.212443,1.65128e+06,0.00274755,21356,0,-nan,58.9248,0,449.33,0.165898,0.165898,0,0,0,0,0,
1.10338e+07,0.34988,-nan,-nan,0,0,0.21244,2.34336e+06,0.00274754,30307,0,-nan,60.6581,0,435.48,0.166736,0.166736,0,0,0,0,0,
1.5552e+07,0.493151,-nan,-nan,0,0,0.212438,3.3032e+06,0.00274754,42720.9,0,-nan,62.3684,0,419.309,0.167904,0.167904,0,0,0,0,0,
